Genome	AnalysisSet	Species	Phylum	ModuleID	DRAMModuleName	METABOLICModuleName	DRAMCoverage	DRAMPresentAt075	METABOLICPresentAt075	Agreement	ComparisonBoundary
SGB_012	Primary real MAG	Fusobacterium nucleatum	Fusobacteriota	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Citrate cycle (TCA cycle, Krebs cycle)	0.0	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_013	Primary real MAG	Methanococcus maripaludis_D	AGJL01	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Citrate cycle (TCA cycle, Krebs cycle)	0.25	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_014	Primary real MAG	Persephonella marina	Aquificota	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Citrate cycle (TCA cycle, Krebs cycle)	0.75	true	false	false	same KOfam snapshot; tool-specific module-step definitions
SGB_015	Primary real MAG	Hydrogenobaculum sp003543175	Aquificota	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Citrate cycle (TCA cycle, Krebs cycle)	0.5	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_016	Primary real MAG	Caldicellulosiruptor saccharolyticus	Bacillota	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Citrate cycle (TCA cycle, Krebs cycle)	0.5	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_017	Primary real MAG	Thermoanaerobacter pseudethanolicus	Bacillota	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Citrate cycle (TCA cycle, Krebs cycle)	0.375	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_018	Primary real MAG	Nanoarchaeum equitans	Nanobdellota	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Citrate cycle (TCA cycle, Krebs cycle)	0.0	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_019	Primary real MAG	Pyrococcus horikoshii	Methanobacteriota_B	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Citrate cycle (TCA cycle, Krebs cycle)	0.25	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_020	Primary real MAG	Halobacterium salinarum	Halobacteriota	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Citrate cycle (TCA cycle, Krebs cycle)	0.625	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_021	Primary real MAG	Rhodopirellula baltica	Planctomycetota	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Citrate cycle (TCA cycle, Krebs cycle)	0.75	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_022	Primary real MAG	Gemmatimonas aurantiaca	Gemmatimonadota	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Citrate cycle (TCA cycle, Krebs cycle)	0.875	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_023	Primary real MAG	Thermotoga petrophila	Thermotogota	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Citrate cycle (TCA cycle, Krebs cycle)	0.375	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_024	Primary real MAG	Thermotoga neapolitana	Thermotogota	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Citrate cycle (TCA cycle, Krebs cycle)	0.375	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_001	Primary real MAG	Desulfobulbus oralis	Desulfobacterota	M00012	Glyoxylate cycle	Glyoxylate cycle	0.4	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_002	Primary real MAG	Nitrosomonas europaea	Pseudomonadota	M00012	Glyoxylate cycle	Glyoxylate cycle	0.4	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_003	Primary real MAG	Porphyromonas gingivalis	Bacteroidota	M00012	Glyoxylate cycle	Glyoxylate cycle	0.0	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_004	Primary real MAG	Chlorobium phaeovibrioides	Bacteroidota	M00012	Glyoxylate cycle	Glyoxylate cycle	0.6	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_005	Primary real MAG	Chlorobium limicola	Bacteroidota	M00012	Glyoxylate cycle	Glyoxylate cycle	0.6	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_006	Primary real MAG	Shewanella baltica	Pseudomonadota	M00012	Glyoxylate cycle	Glyoxylate cycle	0.8	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_007	Primary real MAG	Herpetosiphon aurantiacus	Chloroflexota	M00012	Glyoxylate cycle	Glyoxylate cycle	0.8	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_008	Primary real MAG	Ignicoccus islandicus	Thermoproteota	M00012	Glyoxylate cycle	Glyoxylate cycle	0.0	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_009	Primary real MAG	Ignicoccus hospitalis	Thermoproteota	M00012	Glyoxylate cycle	Glyoxylate cycle	0.0	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_010	Primary real MAG	Methanocaldococcus jannaschii	AGJL01	M00012	Glyoxylate cycle	Glyoxylate cycle	0.0	false	false	true	same KOfam snapshot; tool-specific module-step definitions
