Profile	RequestedByMETABOLICv4	PresentInKOfam2026_06_01	CompatibilityAction
K00402.hmm	true	true	included
K20158.hmm	true	true	included
K03273.hmm	true	true	included
K11177.hmm	true	true	included
K00074.hmm	true	true	included
K00931.hmm	true	true	included
K01906.hmm	true	true	included
K03334.hmm	true	true	included
K01754.hmm	true	true	included
K20508.hmm	true	true	included
K00208.hmm	true	true	included
K14677.hmm	true	true	included
K11176.hmm	true	true	included
K02145.hmm	true	true	included
K22015.hmm	true	true	included
K11311.hmm	true	true	included
K01835.hmm	true	true	included
K03635.hmm	true	true	included
K08243.hmm	true	true	included
K05375.hmm	true	true	included
K10817.hmm	true	true	included
K13540.hmm	true	true	included
K13830.hmm	true	true	included
K11819.hmm	true	true	included
K00339.hmm	true	true	included
K01466.hmm	true	true	included
K00866.hmm	true	true	included
K00767.hmm	true	true	included
K02609.hmm	true	true	included
K13503.hmm	true	true	included
K01624.hmm	true	true	included
K10525.hmm	true	true	included
K15993.hmm	true	true	included
K00037.hmm	true	true	included
K00059.hmm	true	true	included
K02586.hmm	true	true	included
K25026.hmm	true	true	included
K03843.hmm	true	true	included
K13995.hmm	true	true	included
K01823.hmm	true	true	included
K23372.hmm	true	true	included
K22898.hmm	true	true	included
K23158.hmm	true	true	included
K00766.hmm	true	true	included
K02153.hmm	true	true	included
K01702.hmm	true	true	included
K03895.hmm	true	true	included
K00255.hmm	true	true	included
K11155.hmm	true	true	included
K01760.hmm	true	true	included
K22944.hmm	true	true	included
K00411.hmm	true	true	included
K22346.hmm	true	true	included
K18766.hmm	true	true	included
K00994.hmm	true	true	included
K11783.hmm	true	true	included
K02579.hmm	true	true	included
K01737.hmm	true	true	included
K00337.hmm	true	true	included
K15736.hmm	true	true	included
K01231.hmm	true	true	included
K00938.hmm	true	true	included
K03766.hmm	true	true	included
K18128.hmm	true	true	included
K01681.hmm	true	true	included
K20433.hmm	true	true	included
K02692.hmm	true	true	included
K03941.hmm	true	true	included
