#mpa_vJun23_CHOCOPhlAnSGB_202403
#/workspace/miniconda3/envs/metagenome-biobakery-2026.07/bin/metaphlan /workspace/wechat/Metagenome/data/raw/article13/ERR9765746_clean_R1.fastq.gz,/workspace/wechat/Metagenome/data/raw/article13/ERR9765746_clean_R2.fastq.gz --input_type fastq --db_dir /workspace/wechat/Metagenome/db/humann-cache/installed/metaphlan-vjun23 --index mpa_vJun23_CHOCOPhlAnSGB_202403 --offline --bowtie2_exe /workspace/miniconda3/envs/metagenome-biobakery-2026.07/bin/bowtie2 --mapout /workspace/wechat/Metagenome/data/raw/article19/work/metaphlan/ERR9765746-vJun23.mapout.bz2 --tmp_dir /workspace/wechat/Metagenome/data/raw/article19/work/tmp --nproc 8 --read_min_len 70 --perc_nonzero 0.33 --stat tavg_g --stat_q 0.2 -t rel_ab --sample_id ERR9765746_MOCK1_vJun23 --output_file /workspace/wechat/Metagenome/data/raw/article19/work/metaphlan/ERR9765746-vJun23-profile.tsv
#199929 reads processed
#SampleID	ERR9765746_MOCK1_vJun23
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Herpetosiphonales|f__Herpetosiphonaceae|g__Herpetosiphon	2|200795|32061|189772|189773|64	2.53898	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Shewanellaceae|g__Shewanella	2|1224|1236|135622|267890|22	1.49122	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	2|976|200643|171549|171551|836	1.3125	
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium	2157|28890|183963|2235|2236|2239	1.17646	
k__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Pirellulales|f__Pirellulaceae|g__Rhodopirellula	2|203682|203683|2691354|2691357|265488	1.03579	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium	2|32066|203490|203491|203492|848	1.01038	
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanococcaceae|g__Methanococcus	2157|28890|183939|2182|2183|2184	0.66739	
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Pyrobaculum	2157|28889|183924|2266|2267|2276	0.50215	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Wolinella	2|1224|29547|213849|72293|843	0.42216	
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales|f__Chloroflexaceae|g__Chloroflexus	2|200795|32061|32064|1106|1107	0.36157	
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobaculum	2|200783|187857|32069|64898|168657	0.32928	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas	2|1224|1236|72274|135621|286	0.28093	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Nostocales|f__Nostocaceae|g__Trichormus	2|1117||1161|1162|264688	0.20856	
k__Archaea|p__Euryarchaeota|c__Methanopyri|o__Methanopyrales|f__Methanopyraceae|g__Methanopyrus	2157|28890|183988|68985|183713|2319	0.17625	
