Pathway	PathwayID	PathwayName	CommunityRPK	StrataRPKSum	RPKDifference	StrataToCommunityRatio	CommunityCPM	StrataCPMSum	CommunityRelativeAbundance	Coverage	Strata	DominantStratum	DominantFractionOfStrata
THRESYN-PWY: superpathway of L-threonine biosynthesis	THRESYN-PWY	superpathway of L-threonine biosynthesis	21.4631302955	0.0	21.4631302955	0.0	208.821	0.0	0.000208821	0.1934128343	0		0.0
PWY-2941: L-lysine biosynthesis II	PWY-2941	L-lysine biosynthesis II	21.2255672006	0.0	21.2255672006	0.0	206.51	0.0	0.00020651	0.0188720957	0		0.0
PWY-7111: pyruvate fermentation to isobutanol (engineered)	PWY-7111	pyruvate fermentation to isobutanol (engineered)	21.189218457	0.0	21.189218457	0.0	206.156	0.0	0.000206156	0.0234401134	0		0.0
PWY-6901: superpathway of glucose and xylose degradation	PWY-6901	superpathway of glucose and xylose degradation	21.0918299786	0.0	21.0918299786	0.0	205.209	0.0	0.000205209	0.001486863	0		0.0
TRPSYN-PWY: L-tryptophan biosynthesis	TRPSYN-PWY	L-tryptophan biosynthesis	20.8284258709	0.0	20.8284258709	0.0	202.646	0.0	0.000202646	0.0001612009	0		0.0
PWY-7663: gondoate biosynthesis (anaerobic)	PWY-7663	gondoate biosynthesis (anaerobic)	20.7386055939	0.0	20.7386055939	0.0	201.772	0.0	0.000201772	0.2614848741	0		0.0
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I	PWY-7184	pyrimidine deoxyribonucleotides de novo biosynthesis I	20.7067555728	0.0	20.7067555728	0.0	201.462	0.0	0.000201462	0.003682181	0		0.0
PWY-6123: inosine-5'-phosphate biosynthesis I	PWY-6123	inosine-5'-phosphate biosynthesis I	20.3666024754	11.6695536364	8.697048839	0.572974979528136	198.153	113.5365	0.000198153	0.1649053727	2	g__Thermotoga.s__Thermotoga_neapolitana	0.6377394756630865
PWY-7242: D-fructuronate degradation	PWY-7242	D-fructuronate degradation	20.2686050607	20.1049583988	0.16364666189999966	0.991926101406095	197.199	195.6071	0.000197199	0.2346512698	2	g__Thermotoga.s__Thermotoga_petrophila	0.5053592948297984
TRNA-CHARGING-PWY: tRNA charging	TRNA-CHARGING-PWY	tRNA charging	19.4002382555	0.0	19.4002382555	0.0	188.751	0.0	0.000188751	0.0006496002	0		0.0
PWY-7234: inosine-5'-phosphate biosynthesis III	PWY-7234	inosine-5'-phosphate biosynthesis III	19.2137399807	5.0319398421	14.181800138600002	0.26189278334954724	186.936	48.9572	0.000186936	0.0992262349	1	g__Thermotoga.s__Thermotoga_neapolitana	1.0
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	PWY-7953	UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	18.4020252149	0.0	18.4020252149	0.0	179.039	0.0	0.000179039	0.0058609352	0		0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	17.8384552698	0.0	17.8384552698	0.0	173.556	0.0	0.000173556	0.0004554055	0		0.0
PWY-5723: Rubisco shunt	PWY-5723	Rubisco shunt	17.5854608385	0.0	17.5854608385	0.0	171.094	0.0	0.000171094	0.0002311689	0		0.0
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	17.2332785203	0.0	17.2332785203	0.0	167.668	0.0	0.000167668	0.0005017515	0		0.0
PANTO-PWY: phosphopantothenate biosynthesis I	PANTO-PWY	phosphopantothenate biosynthesis I	17.1237252074	0.0	17.1237252074	0.0	166.602	0.0	0.000166602	0.0833628256	0		0.0
METHANOGENESIS-PWY: methanogenesis from H2 and CO2	METHANOGENESIS-PWY	methanogenesis from H2 and CO2	17.014290715	15.3408777585	1.6734129565000018	0.9016466225638956	165.537	149.2559	0.000165537	0.0333288447	2	g__Methanocaldococcus.s__Methanocaldococcus_jannaschii	0.5599296137693685
PWY-5484: glycolysis II (from fructose 6-phosphate)	PWY-5484	glycolysis II (from fructose 6-phosphate)	16.8490521692	0.0	16.8490521692	0.0	163.929	0.0	0.000163929	0.0005017401	0		0.0
NONMEVIPP-PWY: methylerythritol phosphate pathway I	NONMEVIPP-PWY	methylerythritol phosphate pathway I	16.7055200156	7.3703166872	9.335203328400002	0.44119049753120093	162.533	71.708	0.000162533	0.0230763175	1	g__Thermotoga.s__Thermotoga_neapolitana	1.0
PWY-6703: preQ0 biosynthesis	PWY-6703	preQ0 biosynthesis	16.5892473778	0.0	16.5892473778	0.0	161.402	0.0	0.000161402	0.1095945503	0		0.0
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	PWY0-162	superpathway of pyrimidine ribonucleotides de novo biosynthesis	16.5783586473	0.0	16.5783586473	0.0	161.296	0.0	0.000161296	0.0001243737	0		0.0
PWY-6124: inosine-5'-phosphate biosynthesis II	PWY-6124	inosine-5'-phosphate biosynthesis II	16.4843200644	7.1869838586	9.297336205799999	0.4359890993697224	160.381	69.9243	0.000160381	0.0731717564	1	g__Thermotoga.s__Thermotoga_neapolitana	1.0
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I	P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	16.451132075	11.665733491	4.785398584000001	0.7091143295073205	160.058	113.499	0.000160058	0.0579064984	1	g__Thermotoga.s__Thermotoga_neapolitana	1.0
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	PWY-1861	formaldehyde assimilation II (assimilatory RuMP Cycle)	16.1676529879	0.0	16.1676529879	0.0	157.3	0.0	0.0001573	0.000229084	0		0.0
PWY-6749: CMP-legionaminate biosynthesis I	PWY-6749	CMP-legionaminate biosynthesis I	16.0911602049	0.0	16.0911602049	0.0	156.556	0.0	0.000156556	0.0090644173	0		0.0
PWY-7784: reductive acetyl coenzyme A pathway II (autotrophic methanogens)	PWY-7784	reductive acetyl coenzyme A pathway II (autotrophic methanogens)	15.9857229611	0.0	15.9857229611	0.0	155.53	0.0	0.00015553	0.0371081979	0		0.0
P341-PWY: glycolysis V (Pyrococcus)	P341-PWY	glycolysis V (Pyrococcus)	15.4258132153	0.0	15.4258132153	0.0	150.082	0.0	0.000150082	0.0005513999	0		0.0
