SampleID	1 peptide · 1% FDR	1 peptide · 5% FDR	2 peptides · 1% FDR	2 peptides · 5% FDR
MSM79H8J	2625.0	3089	1019	1137
CSM79HLM	2294.0	2674	998	1111
MSM9VZJZ	2561.0	2976	1020	1096
CSM67UBZ	2670.0	3057	1193	1310
MSM6J2QZ	179.0	289	44	57
CSM5MCYK	1708.0	2124	638	733
CSM67UGO	1511.0	1898	492	569
MSM9VZGO	2370.0	2864	894	1001
CSM5MCXF	1021.0	1326	390	433
CSM5MCZF	142.0	265	27	38
CSM9X21P	1807.0	2191	688	765
HSM7CYY1	1385.0	1726	482	574
MSM6J2L5	1493.0	1813	609	691
PSM7J158	1201.0	1428	479	522
HSM7CZ14	290.0	449	53	84
MSM79HDW	1652.0	1998	583	643
HSM7J4QT	502.0	734	111	153
CSM67UA2	543.0	819	124	177
HSM7J4LD	173.0	304	36	49
MSM9VZLJ	543.0	812	89	142
MSM79HCG	1929.0	2308	782	875
HSM67VFR	189.0	362	46	66
MSM79H85	7.0	41	2	3
HSM7CYYH	1306.0	1641	427	486
MSMA26BR	1439.0	1771	527	604
HSM5MD62	1290.0	1576	493	534
PSM7J19N	2555.0	3057	938	1097
HSM5MD73	553.0	806	165	209
MSM5LLHZ	274.0	455	59	83
MSM5LLDS	1337.0	1719	430	513
HSM5FZBJ	446.0	679	113	139
MSM9VZLP	741.0	953	204	232
HSM5MD7W	1080.0	1386	364	416
HSM7J4KK	1735.0	2101	670	730
HSM5MD5K	392.0	639	91	116
MSM6J2P4	1254.0	1538	557	601
CSM79HQ9	934.0	1207	403	455
HSM7J4KQ	1105.0	1424	403	460
MSM5LLIS	1738.0	2118	646	721
MSM5LLH8	1723.0	2058	646	738
HSM5MD5P	1581.0	1923	628	704
MSM6J2KE	1596.0	2004	529	605
HSM5MD4W	271.0	462	37	61
HSM5MD4S	639.0	849	211	249
CSM5MCUM	2312.0	2703	938	1027
CSMAG78W	1452.0	1799	508	564
ESM9IEP1	986.0	1315	266	354
MSM9VZJN	1026.0	1335	374	450
HSM7J4PG	2211.0	2630	858	977
PSM7J19F	1267.0	1615	456	561
HSM7CYZT	481.0	711	161	195
HSM7J4M4	505.0	696	208	238
CSM79HJI	525.0	743	169	192
CSM79HMN	667.0	984	181	251
CSM79HNU	445.0	654	142	177
CSM67UFZ	603.0	855	178	215
PSM7J17L	610.0	900	144	189
PSMA263M	486.0	646	179	201
CSM7KOPQ	3293.0	3734	1353	1481
MSM6J2IQ	885.0	1120	372	414
CSM7KOPI	1637.0	2083	501	607
HSM67VGK	581.0	834	139	185
MSM6J2J1	944.0	1227	336	370
HSM67VGA	1316.0	1750	393	478
HSM7J4O1	2360.0	2742	1007	1088
PSM7J15U	633.0	931	216	244
PSM6XBVY	2110.0	2488	771	901
PSM7J15M	742.0	977	235	262
HSM6XRSG	724.0	955	249	273
CSM5MCTZ	1137.0	1496	355	430
HSM5MD6A	419.0	661	79	117
HSMA33QO	1028.0	1413	257	339
CSM5MCX3	1991.0	2325	796	894
HSM6XRRV	550.0	802	157	190
MSM6J2PM	2231.0	2642	891	988
MSM79HF1	2496.0	2945	988	1076
MSM79HF9	460.0	691	90	130
HSM5MD3L	867.0	1160	275	332
MSM79HAN	748.0	1038	198	252
MSM6J2PE	1831.0	2240	667	766
MSM6J2SM		1430	448	495
