Feature	DNAPrevalence	RNAPrevalence	ProteinPrevalence	EC	Description	MinimumPrevalence	Selected
1.1.1.290: 4-phosphoerythronate dehydrogenase	0.989247311827957	0.989247311827957	0.043010752688172046	1.1.1.290	4-phosphoerythronate dehydrogenase	0.043010752688172046	False
1.1.1.298: 3-hydroxypropionate dehydrogenase (NADP(+))	0.44623655913978494	0.21505376344086022	0.0	1.1.1.298	3-hydroxypropionate dehydrogenase (NADP(+))	0.0	False
1.1.1.29: Glycerate dehydrogenase	0.9516129032258065	0.8172043010752689	0.010752688172043012	1.1.1.29	Glycerate dehydrogenase	0.010752688172043012	False
1.1.1.2: Alcohol dehydrogenase (NADP(+))	0.8064516129032258	0.25268817204301075	0.0	1.1.1.2	Alcohol dehydrogenase (NADP(+))	0.0	False
1.1.1.346: 2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming)	0.44086021505376344	0.17204301075268819	0.0	1.1.1.346	2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming)	0.0	False
1.1.1.35: 3-hydroxyacyl-CoA dehydrogenase	0.9032258064516129	0.9032258064516129	0.8440860215053764	1.1.1.35	3-hydroxyacyl-CoA dehydrogenase	0.8440860215053764	True
1.1.1.37: Malate dehydrogenase	0.989247311827957	1.0	0.9247311827956989	1.1.1.37	Malate dehydrogenase	0.9247311827956989	True
1.1.1.381: 3-hydroxy acid dehydrogenase	0.3924731182795699	0.21505376344086022	0.0	1.1.1.381	3-hydroxy acid dehydrogenase	0.0	False
1.1.1.38: Malate dehydrogenase (oxaloacetate-decarboxylating)	0.989247311827957	0.7688172043010753	0.021505376344086023	1.1.1.38	Malate dehydrogenase (oxaloacetate-decarboxylating)	0.021505376344086023	False
1.1.1.3: Homoserine dehydrogenase	0.9946236559139785	0.989247311827957	0.11827956989247312	1.1.1.3	Homoserine dehydrogenase	0.11827956989247312	True
1.1.1.40: Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))	0.7204301075268817	0.6129032258064516	0.005376344086021506	1.1.1.40	Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))	0.005376344086021506	False
1.1.1.41: Isocitrate dehydrogenase (NAD(+))	0.5913978494623656	0.13440860215053763	0.0	1.1.1.41	Isocitrate dehydrogenase (NAD(+))	0.0	False
1.1.1.42: Isocitrate dehydrogenase (NADP(+))	0.9946236559139785	0.989247311827957	0.4838709677419355	1.1.1.42	Isocitrate dehydrogenase (NADP(+))	0.4838709677419355	True
1.1.1.44: Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)	0.989247311827957	1.0	0.43010752688172044	1.1.1.44	Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)	0.43010752688172044	True
1.1.1.49: Glucose-6-phosphate dehydrogenase (NADP(+))	0.989247311827957	0.9946236559139785	0.11827956989247312	1.1.1.49	Glucose-6-phosphate dehydrogenase (NADP(+))	0.11827956989247312	True
1.1.1.57: Fructuronate reductase	0.989247311827957	0.9247311827956989	0.43010752688172044	1.1.1.57	Fructuronate reductase	0.43010752688172044	True
1.1.1.58: Tagaturonate reductase	0.9946236559139785	0.989247311827957	0.7795698924731183	1.1.1.58	Tagaturonate reductase	0.7795698924731183	True
1.1.1.60: 2-hydroxy-3-oxopropionate reductase	0.8817204301075269	0.25806451612903225	0.08064516129032258	1.1.1.60	2-hydroxy-3-oxopropionate reductase	0.08064516129032258	False
1.1.1.69: Gluconate 5-dehydrogenase	0.989247311827957	0.989247311827957	0.6344086021505376	1.1.1.69	Gluconate 5-dehydrogenase	0.6344086021505376	True
1.1.1.6: Glycerol dehydrogenase	0.9408602150537635	0.46236559139784944	0.053763440860215055	1.1.1.6	Glycerol dehydrogenase	0.053763440860215055	False
1.1.1.77: Lactaldehyde reductase	0.9946236559139785	0.989247311827957	0.4838709677419355	1.1.1.77	Lactaldehyde reductase	0.4838709677419355	True
1.1.1.85: 3-isopropylmalate dehydrogenase	0.9946236559139785	0.9946236559139785	0.3763440860215054	1.1.1.85	3-isopropylmalate dehydrogenase	0.3763440860215054	True
1.1.1.86: Ketol-acid reductoisomerase (NADP(+))	0.9946236559139785	0.9946236559139785	0.8494623655913979	1.1.1.86	Ketol-acid reductoisomerase (NADP(+))	0.8494623655913979	True
1.1.1.94: Glycerol-3-phosphate dehydrogenase (NAD(P)(+))	0.9946236559139785	0.9946236559139785	0.03763440860215054	1.1.1.94	Glycerol-3-phosphate dehydrogenase (NAD(P)(+))	0.03763440860215054	False
1.1.1.95: Phosphoglycerate dehydrogenase	0.9946236559139785	0.9354838709677419	0.053763440860215055	1.1.1.95	Phosphoglycerate dehydrogenase	0.053763440860215055	False
1.1.3.15: (S)-2-hydroxy-acid oxidase	0.8172043010752689	0.5053763440860215	0.05913978494623656	1.1.3.15	(S)-2-hydroxy-acid oxidase	0.05913978494623656	False
1.1.5.3: Glycerol-3-phosphate dehydrogenase	0.9623655913978495	0.9354838709677419	0.005376344086021506	1.1.5.3	Glycerol-3-phosphate dehydrogenase	0.005376344086021506	False
1.1.5.6: Formate dehydrogenase-N	0.1989247311827957	0.021505376344086023	0.010752688172043012	1.1.5.6	Formate dehydrogenase-N	0.010752688172043012	False
