Feature	EC	Description	LayerPair	Subjects	SpearmanRho	PValue	QValue	BH05
3.2.1.8: Endo-1,4-beta-xylanase	3.2.1.8	Endo-1,4-beta-xylanase	DNA–Protein	76	0.18357367288461846	0.11243181907056737	0.207263330015602	False
3.3.1.1: Adenosylhomocysteinase	3.3.1.1	Adenosylhomocysteinase	DNA–Protein	76	0.1493252532145526	0.19793941348426408	0.31678336153972486	False
3.4.11.10: Bacterial leucyl aminopeptidase	3.4.11.10	Bacterial leucyl aminopeptidase	DNA–Protein	76	-0.0427531766084247	0.7138396549662256	0.8039391101241073	False
3.4.11.18: Methionyl aminopeptidase	3.4.11.18	Methionyl aminopeptidase	DNA–Protein	76	0.01355578899599786	0.907475514593603	0.9383986645011176	False
3.4.11.1: Leucyl aminopeptidase	3.4.11.1	Leucyl aminopeptidase	DNA–Protein	76	-0.14019818489129665	0.22707042375743794	0.35336994939766964	False
3.4.11.4: Tripeptide aminopeptidase	3.4.11.4	Tripeptide aminopeptidase	DNA–Protein	76	0.060966110418977135	0.6008568047869298	0.7054702663346543	False
3.4.19.3: Pyroglutamyl-peptidase I	3.4.19.3	Pyroglutamyl-peptidase I	DNA–Protein	76	0.14606973603466136	0.20800594408630013	0.3302146677748306	False
3.4.21.53: Endopeptidase La	3.4.21.53	Endopeptidase La	DNA–Protein	76	-0.13459990428939833	0.24635359394538955	0.3737942031209853	False
3.4.21.92: Endopeptidase Clp	3.4.21.92	Endopeptidase Clp	DNA–Protein	76	0.02789575022928696	0.8109461567252274	0.8751847020692967	False
3.5.1.18: Succinyl-diaminopimelate desuccinylase	3.5.1.18	Succinyl-diaminopimelate desuccinylase	DNA–Protein	76	0.1587897447725988	0.17066669647899171	0.28527909377042854	False
3.5.1.25: N-acetylglucosamine-6-phosphate deacetylase	3.5.1.25	N-acetylglucosamine-6-phosphate deacetylase	DNA–Protein	76	-0.19359140882426568	0.09381413785595213	0.18412774817996574	False
3.5.1.2: Glutaminase	3.5.1.2	Glutaminase	DNA–Protein	76	0.14918423132436986	0.19836810569498972	0.3168267922942245	False
3.5.1.88: Peptide deformylase	3.5.1.88	Peptide deformylase	DNA–Protein	76	0.17813835186002236	0.12366304840841515	0.22175032998690808	False
3.5.4.10: IMP cyclohydrolase	3.5.4.10	IMP cyclohydrolase	DNA–Protein	76	0.19613895065574152	0.08948923756760017	0.17740454382119736	False
3.5.4.16: GTP cyclohydrolase I	3.5.4.16	GTP cyclohydrolase I	DNA–Protein	76	-0.12002960410604234	0.30170159152752424	0.4351783468285496	False
3.5.99.10: 2-iminobutanoate/2-iminopropanoate deaminase	3.5.99.10	2-iminobutanoate/2-iminopropanoate deaminase	DNA–Protein	76	0.4761852637795547	1.3745298064195136e-05	7.428109707294495e-05	True
3.5.99.6: Glucosamine-6-phosphate deaminase	3.5.99.6	Glucosamine-6-phosphate deaminase	DNA–Protein	76	0.10872431860897214	0.3498381674433356	0.4894012661574323	False
3.6.1.1: Inorganic diphosphatase	3.6.1.1	Inorganic diphosphatase	DNA–Protein	76	0.001191093480572961	0.991852446725325	0.9931111427237075	False
3.6.1.23: dUTP diphosphatase	3.6.1.23	dUTP diphosphatase	DNA–Protein	76	-0.020850340751032058	0.858113624066542	0.9112404433223441	False
3.6.3.14: H(+)-transporting two-sector ATPase	3.6.3.14	H(+)-transporting two-sector ATPase	DNA–Protein	76	0.03325948658818018	0.7754733075410579	0.8497894995137426	False
3.6.3.17: Monosaccharide-transporting ATPase	3.6.3.17	Monosaccharide-transporting ATPase	DNA–Protein	76	-0.035878898382189904	0.7583104595055508	0.8379649195376465	False
3.6.4.12: DNA helicase	3.6.4.12	DNA helicase	DNA–Protein	76	0.059765757882069476	0.6080565794113453	0.7118051055720347	False
3.6.5.3: Protein-synthesizing GTPase	3.6.5.3	Protein-synthesizing GTPase	DNA–Protein	76	0.24975873483812666	0.02956496569354341	0.07026131907290888	False
4.1.1.11: Aspartate 1-decarboxylase	4.1.1.11	Aspartate 1-decarboxylase	DNA–Protein	76	0.1679092405360907	0.14709905919378216	0.2543554664833141	False
4.1.1.15: Glutamate decarboxylase	4.1.1.15	Glutamate decarboxylase	DNA–Protein	76	0.19029787316116956	0.09964690916099929	0.1908286682719137	False
4.1.1.19: Arginine decarboxylase	4.1.1.19	Arginine decarboxylase	DNA–Protein	76	-0.07909932177093792	0.497005560337713	0.6234298682137608	False
4.1.1.23: Orotidine-5'-phosphate decarboxylase	4.1.1.23	Orotidine-5'-phosphate decarboxylase	DNA–Protein	76	0.13783836480197756	0.23506613266838267	0.360831086917031	False
4.1.1.32: Phosphoenolpyruvate carboxykinase (GTP)	4.1.1.32	Phosphoenolpyruvate carboxykinase (GTP)	DNA–Protein	76	0.5204755006467859	1.4403122064207588e-06	9.796606300568783e-06	True
4.1.1.3: Oxaloacetate decarboxylase	4.1.1.3	Oxaloacetate decarboxylase	DNA–Protein	76	0.26920100704483413	0.01869615924143733	0.04727971038940401	True
4.1.1.41: Methylmalonyl-CoA decarboxylase	4.1.1.41	Methylmalonyl-CoA decarboxylase	DNA–Protein	76	0.3183119415353892	0.005074380180584366	0.01477374893904452	True
4.1.1.49: Phosphoenolpyruvate carboxykinase (ATP)	4.1.1.49	Phosphoenolpyruvate carboxykinase (ATP)	DNA–Protein	76	0.08149064587098004	0.48404582798810114	0.6120387151964933	False
4.1.2.13: Fructose-bisphosphate aldolase	4.1.2.13	Fructose-bisphosphate aldolase	DNA–Protein	76	0.4054523085509596	0.0002796664356276914	0.0011144283722739825	True
4.1.2.14: 2-dehydro-3-deoxy-phosphogluconate aldolase	4.1.2.14	2-dehydro-3-deoxy-phosphogluconate aldolase	DNA–Protein	76	0.3473554475512078	0.002109816338487171	0.006907241041769203	True
4.1.2.40: Tagatose-bisphosphate aldolase	4.1.2.40	Tagatose-bisphosphate aldolase	DNA–Protein	76	0.3123062978778106	0.006022372311049755	0.017341794720504587	True
4.1.2.4: Deoxyribose-phosphate aldolase	4.1.2.4	Deoxyribose-phosphate aldolase	DNA–Protein	76	0.07234461698375375	0.5345681516218527	0.6468930546466898	False
4.1.3.16: 4-hydroxy-2-oxoglutarate aldolase	4.1.3.16	4-hydroxy-2-oxoglutarate aldolase	DNA–Protein	76	0.35636458713300617	0.0015795873628651313	0.005348903130045445	True
4.1.3.36: 1,4-dihydroxy-2-naphthoyl-CoA synthase	4.1.3.36	1,4-dihydroxy-2-naphthoyl-CoA synthase	DNA–Protein	76	0.2992315159556824	0.008642864379604015	0.02409618372970872	True
4.1.3.3: N-acetylneuraminate lyase	4.1.3.3	N-acetylneuraminate lyase	DNA–Protein	76	0.10091725429159233	0.38571584989912444	0.5300616342175519	False
4.1.99.3: Deoxyribodipyrimidine photo-lyase	4.1.99.3	Deoxyribodipyrimidine photo-lyase	DNA–Protein	76	0.22170747319571135	0.0542548770689556	0.11695928417324034	False
4.2.1.11: Phosphopyruvate hydratase	4.2.1.11	Phosphopyruvate hydratase	DNA–Protein	76	0.15094339763724357	0.19306786626713707	0.3115144099893071	False
4.2.1.32: L(+)-tartrate dehydratase	4.2.1.32	L(+)-tartrate dehydratase	DNA–Protein	76	-0.02006195053660506	0.8634259591938955	0.9131944796300048	False
4.2.1.33: 3-isopropylmalate dehydratase	4.2.1.33	3-isopropylmalate dehydratase	DNA–Protein	76	0.1389832320565073	0.23116296087308139	0.3569228495672431	False
4.2.1.3: Aconitate hydratase	4.2.1.3	Aconitate hydratase	DNA–Protein	76	0.3595141286910111	0.0014247395685600367	0.004887476172147256	True
4.2.1.44: Myo-inosose-2 dehydratase	4.2.1.44	Myo-inosose-2 dehydratase	DNA–Protein	76	0.09799731201118685	0.3996806937137506	0.5409057758836179	False
4.2.1.45: CDP-glucose 4,6-dehydratase	4.2.1.45	CDP-glucose 4,6-dehydratase	DNA–Protein	76	0.010069213209571933	0.9312051163719463	0.950479737150667	False
4.2.1.46: dTDP-glucose 4,6-dehydratase	4.2.1.46	dTDP-glucose 4,6-dehydratase	DNA–Protein	76	-0.1850358947069124	0.10954913804946051	0.20433633551069583	False
4.2.1.47: GDP-mannose 4,6-dehydratase	4.2.1.47	GDP-mannose 4,6-dehydratase	DNA–Protein	76	0.1109146543140984	0.3401577526670247	0.4784036842322326	False
4.2.1.49: Urocanate hydratase	4.2.1.49	Urocanate hydratase	DNA–Protein	76	0.17025338135413398	0.14145492813418925	0.24625887185665377	False
4.2.1.55: 3-hydroxybutyryl-CoA dehydratase	4.2.1.55	3-hydroxybutyryl-CoA dehydratase	DNA–Protein	76	0.3344505764881654	0.0031481433466208717	0.009740725884250461	True
4.2.1.59: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase	4.2.1.59	3-hydroxyacyl-[acyl-carrier-protein] dehydratase	DNA–Protein	76	-0.0927870808467681	0.4253262432418861	0.5630577280500808	False
4.2.1.8: Mannonate dehydratase	4.2.1.8	Mannonate dehydratase	DNA–Protein	76	-0.16218181528634687	0.16159663161910928	0.2747839274730113	False
4.2.1.99: 2-methylisocitrate dehydratase	4.2.1.99	2-methylisocitrate dehydratase	DNA–Protein	76	0.22873479990511822	0.04687268410787617	0.10476642425244843	False
4.2.1.9: Dihydroxy-acid dehydratase	4.2.1.9	Dihydroxy-acid dehydratase	DNA–Protein	76	-0.12443978253264781	0.2841554277476389	0.41828103077031176	False
4.2.3.1: Threonine synthase	4.2.3.1	Threonine synthase	DNA–Protein	76	0.2421547426364011	0.03507029988947021	0.0825984077993791	False
4.2.3.3: Methylglyoxal synthase	4.2.3.3	Methylglyoxal synthase	DNA–Protein	76	0.2132789113532281	0.0643346470376716	0.13536009736726104	False
4.2.3.5: Chorismate synthase	4.2.3.5	Chorismate synthase	DNA–Protein	76	0.15784966351293167	0.17324525417874406	0.28793879585252785	False
4.3.1.1: Aspartate ammonia-lyase	4.3.1.1	Aspartate ammonia-lyase	DNA–Protein	76	0.2056517758813849	0.07471332033717584	0.15351252538029098	False
4.3.1.3: Histidine ammonia-lyase	4.3.1.3	Histidine ammonia-lyase	DNA–Protein	76	0.14062126392477767	0.22565724545813234	0.35186475625783875	False
4.3.2.1: Argininosuccinate lyase	4.3.2.1	Argininosuccinate lyase	DNA–Protein	76	0.02057562201144703	0.8599640334837526	0.9119779871218828	False
4.3.2.2: Adenylosuccinate lyase	4.3.2.2	Adenylosuccinate lyase	DNA–Protein	76	0.3222410424744086	0.004528072461940219	0.013380708511126714	True
4.3.3.6: Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing)	4.3.3.6	Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing)	DNA–Protein	76	0.5239654038453072	1.1892179942989298e-06	8.240036801763614e-06	True
4.3.3.7: 4-hydroxy-tetrahydrodipicolinate synthase	4.3.3.7	4-hydroxy-tetrahydrodipicolinate synthase	DNA–Protein	76	0.05666662300469474	0.626816977745495	0.7294374564029433	False
4.4.1.21: S-ribosylhomocysteine lyase	4.4.1.21	S-ribosylhomocysteine lyase	DNA–Protein	76	0.13473387552629384	0.24587939383017604	0.37379352934876475	False
4.99.1.3: Sirohydrochlorin cobaltochelatase	4.99.1.3	Sirohydrochlorin cobaltochelatase	DNA–Protein	76	0.18716805101921036	0.10544870303312076	0.19833747880348823	False
5.1.3.13: dTDP-4-dehydrorhamnose 3,5-epimerase	5.1.3.13	dTDP-4-dehydrorhamnose 3,5-epimerase	DNA–Protein	76	0.28099004857578264	0.013941283673460415	0.03661755589414216	True
5.1.3.2: UDP-glucose 4-epimerase	5.1.3.2	UDP-glucose 4-epimerase	DNA–Protein	76	-0.1843784588527533	0.11083807001101385	0.20625291801577814	False
5.1.3.3: Aldose 1-epimerase	5.1.3.3	Aldose 1-epimerase	DNA–Protein	76	0.3975121291333909	0.0003769556370698391	0.0014537770379289205	True
5.1.3.4: L-ribulose-5-phosphate 4-epimerase	5.1.3.4	L-ribulose-5-phosphate 4-epimerase	DNA–Protein	76	-0.08017951999331936	0.4911291232855449	0.6180237293019057	False
