Feature	Species	Samples	NonzeroSamples	NonzeroPrevalence	SamplesAtOrAbove0.01Pct	PrevalenceAtOrAbove0.01Pct	MaximumRelativeAbundance
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_stercoris	Collinsella stercoris	114	86	0.754385964912281	58	0.508771929824561	0.002751
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus	Streptococcus thermophilus	114	82	0.719298245614035	75	0.657894736842105	0.3375572
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	Roseburia intestinalis	114	81	0.710526315789474	73	0.640350877192982	0.0722655
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila	Akkermansia muciniphila	114	80	0.701754385964912	67	0.587719298245614	0.1968177
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Eubacterium_siraeum	Eubacterium siraeum	114	80	0.701754385964912	73	0.640350877192982	0.1111826
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis	Collinsella intestinalis	114	80	0.701754385964912	24	0.210526315789474	0.0148204
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	Bacteroides caccae	114	79	0.692982456140351	77	0.675438596491228	0.0669429
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma|s__Enorma_massiliensis	Enorma massiliensis	114	78	0.684210526315789	34	0.298245614035088	0.0189545
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_38	Eubacterium sp CAG 38	114	77	0.675438596491228	68	0.596491228070175	0.0394258
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum	Eubacterium ventriosum	114	76	0.666666666666667	71	0.62280701754386	0.0380018
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Asaccharobacter|s__Asaccharobacter_celatus	Asaccharobacter celatus	114	76	0.666666666666667	55	0.482456140350877	0.0068373
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_57_20	Oscillibacter sp 57 20	114	75	0.657894736842105	70	0.614035087719298	0.0123268
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_sanguinis	Gemella sanguinis	114	75	0.657894736842105	45	0.394736842105263	0.001043
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Mogibacterium|s__Mogibacterium_diversum	Mogibacterium diversum	114	73	0.640350877192982	42	0.368421052631579	0.001995
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	Bacteroides fragilis	114	72	0.631578947368421	69	0.605263157894737	0.1629277
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens	Adlercreutzia equolifaciens	114	72	0.631578947368421	48	0.421052631578947	0.0030897
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus	Actinomyces odontolyticus	114	72	0.631578947368421	21	0.184210526315789	0.000663
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus	Ruminococcus gnavus	114	71	0.62280701754386	62	0.543859649122807	0.0737406
