#mpa_vJan26_CHOCOPhlAnSGB_202605
#${BIOBAKERY_ENV_PREFIX}/bin/metaphlan ${PROJECT_ROOT}/data/raw/article13/ERR9765746_clean_R1.fastq.gz,${PROJECT_ROOT}/data/raw/article13/ERR9765746_clean_R2.fastq.gz --input_type fastq --db_dir ${METAPHLAN_DB_DIR} --index mpa_vJan26_CHOCOPhlAnSGB_202605 --offline --bowtie2_exe ${BIOBAKERY_ENV_PREFIX}/bin/bowtie2 --mapout ${WORK_DIR}/ERR9765746-full.mapout.bz2 --tmp_dir ${WORK_DIR}/tmp --nproc 8 --read_min_len 70 --perc_nonzero 0.33 --stat tavg_g --stat_q 0.2 -t rel_ab_w_read_stats --tax_lev a --sample_id ERR9765746_MOCK1 --output_file ${PROJECT_ROOT}/data/small/15-metaphlan-frozen/profile-all.tsv
#199929 reads processed
#SampleID	ERR9765746_MOCK1
#Estimated reads mapped to known clades: 261721
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Archaea|p__Nanobdellota|c__Candidatus_Nanoarchaeia|o__Nanoarchaeales|f__Nanoarchaeaceae|g__Nanoarchaeum	2157|192989|2885752|1890940|1890941|193568	2.89183	0.0015927660613652677	2030
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae|g__Thermoanaerobacter	2|1239|186801|68295|186814|1754	2.69366	0.0014836131717852058	10003
k__Archaea|p__Thermoproteota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignicoccus	2157|28889|183924|114380|2272|54258	2.67616	0.001473975036742436	4567
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	2|976|200643|171549|171551|836	1.90573	0.001049636479191153	7210
k__Bacteria|p__Chloroflexota|c__Chloroflexia|o__Herpetosiphonales|f__Herpetosiphonaceae|g__Herpetosiphon	2|200795|32061|189772|189773|64	1.4625	0.0008055160311868297	14827
k__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Pirellulales|f__Pirellulaceae|g__Rhodopirellula	2|203682|203683|2691354|2691357|265488	1.31188	0.0007225603744858903	18304
k__Archaea|p__Methanobacteriota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium	2157|28890|183963|2235|2236|2239	1.22614	0.0006753345652967777	6435
k__Archaea|p__Methanobacteriota|c__Methanococci|o__Methanococcales|f__Methanococcaceae|g__Methanococcus	2157|28890|183939|2182|2183|2184	0.80915	0.0004456615961638476	5323
k__Bacteria|p__Aquificota|c__Aquificia|o__Aquificales|f__Aquificaceae|g__Hydrogenobaculum	2|200783|187857|32069|64898|168657	0.78527	0.00043251411281253384	3618
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Shewanellaceae|g__Shewanella	2|1224|1236|135622|267890|22	0.61025	0.0003361151220253043	11807
