Dataset	FeatureSpace	SampleID	Axis1	Axis2	Axis1Variance	Axis2Variance	NegativeEigenvalues	NegativeEigenvalueMass	Correction	CorrectionNote	SubjectID	FamilyRole	AgeCategory	DaysFromFirstCollection	HotSpring	Temperature
Western US hot springs	MAG catalog	AA01.0.5	-0.102163164556046	-0.0663155892446236	0.103151925596214	0.0609107810338254	165	10.7062922601601	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.388445254331181 )^2, except diagonal elements					AA01	57
Western US hot springs	MAG catalog	AA01.1.1	0.292844805246929	0.0576074285887183	0.103151925596214	0.0609107810338254	165	10.7062922601601	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.388445254331181 )^2, except diagonal elements					AA01	41.4
Western US hot springs	MAG catalog	AA01.1.2	0.0632668981390568	0.238922311868408	0.103151925596214	0.0609107810338254	165	10.7062922601601	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.388445254331181 )^2, except diagonal elements					AA01	52.5
Western US hot springs	MAG catalog	AA01.1.3	0.130119200385716	0.239123365930199	0.103151925596214	0.0609107810338254	165	10.7062922601601	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.388445254331181 )^2, except diagonal elements					AA01	51.3
Western US hot springs	MAG catalog	AA01.1.5	0.46681593832776	-0.14026099902505	0.103151925596214	0.0609107810338254	165	10.7062922601601	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.388445254331181 )^2, except diagonal elements					AA01	35.4
Western US hot springs	MAG catalog	AA01.1.6	0.44084899405638	-0.132886690795831	0.103151925596214	0.0609107810338254	165	10.7062922601601	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.388445254331181 )^2, except diagonal elements					AA01	31.9
Western US hot springs	MAG catalog	AA01.2.1	0.402831817863909	0.0150127181787393	0.103151925596214	0.0609107810338254	165	10.7062922601601	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.388445254331181 )^2, except diagonal elements					AA01	49.2
Western US hot springs	MAG catalog	AA01.2.2	0.0129214315350113	0.206802183248544	0.103151925596214	0.0609107810338254	165	10.7062922601601	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.388445254331181 )^2, except diagonal elements					AA01	52.7
Western US hot springs	MAG catalog	AA01.2.3	0.0167625428247277	0.23361046607201	0.103151925596214	0.0609107810338254	165	10.7062922601601	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.388445254331181 )^2, except diagonal elements					AA01	52
Western US hot springs	MAG catalog	AA01.2.4	0.0471320117178637	0.250364644954032	0.103151925596214	0.0609107810338254	165	10.7062922601601	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.388445254331181 )^2, except diagonal elements					AA01	53.3
