Rank	Habitat	Subjects	FeatureID	Label	Phylum	MeanRelativeAbundance	MedianRelativeAbundance	DetectionPrevalence
Phylum	Posterior fornix	42	PH0005	Lentisphaerae	Lentisphaerae	0	0	0
Phylum	Posterior fornix	42	PH0006	Actinobacteria	Actinobacteria	0.0728016519073121	0	0.476190476190476
Phylum	Posterior fornix	42	PH0007	Synergistetes	Synergistetes	0	0	0
Phylum	Posterior fornix	42	PH0008	Fusobacteria	Fusobacteria	0.0106584744766374	0	0.166666666666667
Phylum	Posterior fornix	42	PH0009	Tenericutes	Tenericutes	0.00422031427052786	0	0.333333333333333
Phylum	Posterior fornix	42	PH0010	Spirochaetes	Spirochaetes	0	0	0
Phylum	Posterior fornix	42	PH0011	Euryarchaeota	Euryarchaeota	0	0	0
Phylum	Posterior fornix	42	PH0012	Ascomycota	Ascomycota	0.000408557142857143	0	0.0952380952380952
Phylum	Posterior fornix	42	PH0013	Basidiomycota	Basidiomycota	0	0	0
Phylum	Posterior fornix	42	PH0014	Chloroflexi	Chloroflexi	0	0	0
Phylum	Posterior fornix	42	PH0015	Chlamydiae	Chlamydiae	0	0	0
Phylum	Posterior fornix	42	PH0016	Eukaryota unclassified	Eukaryota unclassified	0	0	0
Phylum	Posterior fornix	42	PH0017	Candidatus Melainabacteria	Candidatus Melainabacteria	0	0	0
Phylum	Posterior fornix	42	PH0018	Cyanobacteria	Cyanobacteria	0	0	0
Genus	Anterior nares	74	GE0001	Bacteroides	Bacteroidetes	0.00493130121852856	0	0.148648648648649
Genus	Anterior nares	74	GE0002	Parabacteroides	Bacteroidetes	0.000407456745866221	0	0.0540540540540541
Genus	Anterior nares	74	GE0003	Alistipes	Bacteroidetes	0.000180262149898785	0	0.0405405405405405
Genus	Anterior nares	74	GE0004	Parasutterella	Proteobacteria	0	0	0
Genus	Anterior nares	74	GE0005	Faecalibacterium	Firmicutes	0.0000556216168520274	0	0.027027027027027
Genus	Anterior nares	74	GE0006	Ruminococcus	Firmicutes	0.0000324432432432432	0	0.0135135135135135
Genus	Anterior nares	74	GE0007	Roseburia	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0008	Eubacterium	Firmicutes	0.0000162202702702703	0	0.0135135135135135
Genus	Anterior nares	74	GE0009	Lachnospira	Firmicutes	0.0000224067567567568	0	0.0135135135135135
Genus	Anterior nares	74	GE0010	Proteobacteria unclassified	Proteobacteria	0	0	0
Genus	Anterior nares	74	GE0011	Odoribacter	Bacteroidetes	0.00000698918918918919	0	0.0135135135135135
Genus	Anterior nares	74	GE0012	Oscillibacter	Firmicutes	0.00000567027027027027	0	0.0135135135135135
Genus	Anterior nares	74	GE0013	Turicimonas	Proteobacteria	0	0	0
Genus	Anterior nares	74	GE0014	Akkermansia	Verrucomicrobia	0	0	0
Genus	Anterior nares	74	GE0015	Coprococcus	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0016	Lachnospiraceae unclassified	Firmicutes	0.0000124864864864865	0	0.0135135135135135
Genus	Anterior nares	74	GE0017	Ruthenibacterium	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0018	Butyricimonas	Bacteroidetes	0	0	0
Genus	Anterior nares	74	GE0019	Veillonella	Firmicutes	0.00201239317876218	0	0.121621621621622
Genus	Anterior nares	74	GE0020	Fusicatenibacter	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0021	Gemmiger	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0022	Agathobaculum	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0023	Streptococcus	Firmicutes	0.0158622099001935	0	0.472972972972973
Genus	Anterior nares	74	GE0024	Anaerostipes	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0025	Dorea	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0026	Firmicutes unclassified	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0027	Intestinimonas	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0028	Blautia	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0029	Haemophilus	Proteobacteria	0.00209612025174556	0	0.256756756756757
Genus	Anterior nares	74	GE0030	Lactobacillus	Firmicutes	0.0135234905405405	0	0.027027027027027
Genus	Anterior nares	74	GE0031	Victivallis	Lentisphaerae	0	0	0
Genus	Anterior nares	74	GE0032	Dielma	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0033	Prevotella	Bacteroidetes	0.00474338361573084	0	0.243243243243243
Genus	Anterior nares	74	GE0034	Oxalobacter	Proteobacteria	0	0	0
Genus	Anterior nares	74	GE0035	Collinsella	Actinobacteria	0	0	0
Genus	Anterior nares	74	GE0036	Lawsonibacter	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0037	Flavonifractor	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0038	Dialister	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0039	Barnesiella	Bacteroidetes	0.0000306364834228381	0	0.027027027027027
Genus	Anterior nares	74	GE0040	Phascolarctobacterium	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0041	Monoglobus	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0042	Clostridium	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0043	Gordonibacter	Actinobacteria	0	0	0
Genus	Anterior nares	74	GE0044	Erysipelatoclostridium	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0045	Holdemania	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0046	Adlercreutzia	Actinobacteria	0	0	0
Genus	Anterior nares	74	GE0047	Christensenella	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0048	Enorma	Actinobacteria	0	0	0
Genus	Anterior nares	74	GE0049	Asaccharobacter	Actinobacteria	0	0	0
Genus	Anterior nares	74	GE0050	Ruminococcaceae unclassified	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0051	Eggerthella	Actinobacteria	0	0	0
Genus	Anterior nares	74	GE0052	Bilophila	Proteobacteria	0	0	0
Genus	Anterior nares	74	GE0053	Lachnoclostridium	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0054	Gemella	Firmicutes	0.00218236341471611	0	0.351351351351351
Genus	Anterior nares	74	GE0055	Enterorhabdus	Actinobacteria	0	0	0
Genus	Anterior nares	74	GE0056	Olsenella	Actinobacteria	0	0	0
Genus	Anterior nares	74	GE0057	Fretibacterium	Synergistetes	0	0	0
Genus	Anterior nares	74	GE0058	Actinomyces	Actinobacteria	0.00176171357358772	0	0.162162162162162
Genus	Anterior nares	74	GE0059	Rothia	Actinobacteria	0.00328072545011247	0	0.202702702702703
Genus	Anterior nares	74	GE0060	Oribacterium	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0061	Campylobacter	Proteobacteria	0.00148580820363947	0	0.0810810810810811
Genus	Anterior nares	74	GE0062	Megasphaera	Firmicutes	0.0000338081052281084	0	0.027027027027027
Genus	Anterior nares	74	GE0063	Fusobacterium	Fusobacteria	0.00140683646589623	0	0.0945945945945946
Genus	Anterior nares	74	GE0064	Atopobium	Actinobacteria	0.0000445067523060815	0	0.0135135135135135
Genus	Anterior nares	74	GE0065	Leptotrichia	Fusobacteria	0.000111577029355272	0	0.0405405405405405
Genus	Anterior nares	74	GE0066	Neisseria	Proteobacteria	0.00452440025122586	0	0.162162162162162
Genus	Anterior nares	74	GE0067	Granulicatella	Firmicutes	0.000448110745771228	0	0.0810810810810811
Genus	Anterior nares	74	GE0068	Stomatobaculum	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0069	Lachnoanaerobaculum	Firmicutes	0.0000125770257693244	0	0.0135135135135135
Genus	Anterior nares	74	GE0070	Porphyromonas	Bacteroidetes	0.00107386625006122	0	0.0810810810810811
Genus	Anterior nares	74	GE0071	Kingella	Proteobacteria	0.00000377297259567572	0	0.0135135135135135
Genus	Anterior nares	74	GE0072	Capnocytophaga	Bacteroidetes	0.00223808265143814	0	0.0405405405405405
Genus	Anterior nares	74	GE0073	Solobacterium	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0074	Staphylococcus	Firmicutes	0.15029292988347	0.0955410952688105	0.891891891891892
Genus	Anterior nares	74	GE0075	Cardiobacterium	Proteobacteria	0.00000752297372527035	0	0.0135135135135135
Genus	Anterior nares	74	GE0076	Corynebacterium	Actinobacteria	0.171027487457536	0.08392905	0.810810810810811
Genus	Anterior nares	74	GE0077	Lautropia	Proteobacteria	0.000110931060284193	0	0.027027027027027
Genus	Anterior nares	74	GE0078	Alloprevotella	Bacteroidetes	0.0000489256658905426	0	0.027027027027027
Genus	Anterior nares	74	GE0079	Aggregatibacter	Proteobacteria	0	0	0
Genus	Anterior nares	74	GE0080	Bulleidia	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0081	Bifidobacterium	Actinobacteria	0	0	0
Genus	Anterior nares	74	GE0082	Parvimonas	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0083	Actinobaculum	Actinobacteria	0.000139035145394596	0	0.027027027027027
Genus	Anterior nares	74	GE0084	Eikenella	Proteobacteria	0.00000787702781472981	0	0.0135135135135135
Genus	Anterior nares	74	GE0085	Pseudopropionibacterium	Actinobacteria	0.0000938716311006767	0	0.027027027027027
Genus	Anterior nares	74	GE0086	Abiotrophia	Firmicutes	0.000209960774247306	0	0.0405405405405405
Genus	Anterior nares	74	GE0087	Clostridiales Family XIII Incertae Sedis unclassified	Firmicutes	0.000000117567555810812	0	0.0135135135135135
Genus	Anterior nares	74	GE0088	Selenomonas	Firmicutes	0.0000442216192402708	0	0.027027027027027
Genus	Anterior nares	74	GE0089	Cutibacterium	Actinobacteria	0.389628192475929	0.376334269188252	0.986486486486487
Genus	Anterior nares	74	GE0090	Escherichia	Proteobacteria	0.000173721612451893	0	0.0405405405405405
Genus	Anterior nares	74	GE0091	Klebsiella	Proteobacteria	0.0017566716256373	0	0.0945945945945946
Genus	Anterior nares	74	GE0092	Gardnerella	Actinobacteria	0.0000716567495910818	0	0.0135135135135135
Genus	Anterior nares	74	GE0093	Sneathia	Fusobacteria	0	0	0
Genus	Anterior nares	74	GE0094	Veillonellaceae unclassified	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0095	Anaerococcus	Firmicutes	0.00542281355148044	0	0.459459459459459
Genus	Anterior nares	74	GE0096	Peptoniphilus	Firmicutes	0.0000221878356190543	0	0.0135135135135135
Genus	Anterior nares	74	GE0097	Aerococcus	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0098	Mobiluncus	Actinobacteria	0	0	0
Genus	Anterior nares	74	GE0099	Tissierellia unclassified	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0100	Mageeibacillus	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0101	Mycoplasma	Tenericutes	0	0	0
Genus	Anterior nares	74	GE0102	Peptococcus	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0103	Ureaplasma	Tenericutes	0	0	0
Genus	Anterior nares	74	GE0104	Varibaculum	Actinobacteria	0	0	0
Genus	Anterior nares	74	GE0105	Tannerella	Bacteroidetes	0.00011923514705865	0	0.0135135135135135
Genus	Anterior nares	74	GE0106	Mogibacterium	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0107	Treponema	Spirochaetes	0	0	0
Genus	Anterior nares	74	GE0108	Peptostreptococcus	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0109	Alloscardovia	Actinobacteria	0	0	0
Genus	Anterior nares	74	GE0110	Bacteroidetes unclassified	Bacteroidetes	0	0	0
Genus	Anterior nares	74	GE0111	Slackia	Actinobacteria	0	0	0
Genus	Anterior nares	74	GE0112	Peptoanaerobacter	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0113	Anaeroglobus	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0114	Ottowia	Proteobacteria	0.000243216240537841	0	0.0135135135135135
Genus	Anterior nares	74	GE0115	Johnsonella	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0116	Catonella	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0117	Centipeda	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0118	Sutterella	Proteobacteria	0	0	0
Genus	Anterior nares	74	GE0119	Butyrivibrio	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0120	Catenibacterium	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0121	Coprobacter	Bacteroidetes	0	0	0
Genus	Anterior nares	74	GE0122	Desulfovibrionaceae unclassified	Proteobacteria	0	0	0
Genus	Anterior nares	74	GE0123	Methanobrevibacter	Euryarchaeota	0	0	0
Genus	Anterior nares	74	GE0124	Sharpea	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0125	Turicibacter	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0126	Morococcus	Proteobacteria	0.0000173094577285136	0	0.0135135135135135
Genus	Anterior nares	74	GE0127	Candida	Ascomycota	0.00000335945945945946	0	0.0135135135135135
Genus	Anterior nares	74	GE0128	Acidaminococcus	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0129	Anaeromassilibacillus	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0130	Anaerotruncus	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0131	Harryflintia	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0132	Massiliomicrobiota	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0133	Filifactor	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0134	Shuttleworthia	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0135	Finegoldia	Firmicutes	0.00103174326172542	0	0.22972972972973
Genus	Anterior nares	74	GE0136	Faecalitalea	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0137	Absiella	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0138	Lactococcus	Firmicutes	0.000337641858249192	0	0.027027027027027
Genus	Anterior nares	74	GE0139	Romboutsia	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0140	Limnochorda	Firmicutes	0	0	0
Genus	Anterior nares	74	GE0141	Moraxella	Proteobacteria	0.100192546592525	0	0.324324324324324
Genus	Anterior nares	74	GE0142	Dolosigranulum	Firmicutes	0.0788558498347806	0	0.391891891891892
Genus	Anterior nares	74	GE0143	Cloacibacterium	Bacteroidetes	0.00000545270161216238	0	0.0135135135135135
Genus	Anterior nares	74	GE0144	Anaerotignum	Firmicutes	0	0	0
