TruthIndex	ExpectedOrganismGTDBRS207	StrainName	AssemblyAccession	ExpectedGenomePercent	SourceDOI	SupplementaryTable	PublisherXLSXBytes	PublisherXLSXSHA256	NCBIRetrievalDate	NCBIDatasetsVersion	CurrentAccession	PairedRefSeqAccession	NCBITaxID	NCBIOrganismName	NCBIStrain	AssemblyStatus	AssemblyLevel	SequenceReportRows	RefSeqSequenceAccessions	GenBankSequenceAccessions
21	Pseudomonas putida	KT2440	GCA_000007565.2	1.4824978587194015	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000007565.2	GCF_000007565.2	160488	Pseudomonas putida KT2440	KT2440	current	Complete Genome	1	NC_002947.4	AE015451.2
22	Trichormus sp000009705	sp. PCC 7120	GCA_000009705.1	1.3714630261137666	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000009705.1	GCF_000009705.1	103690	Nostoc sp. PCC 7120 = FACHB-418	PCC 7120	current	Complete Genome	7	NC_003240.1;NC_003241.1;NC_003267.1;NC_003270.1;NC_003272.1;NC_003273.1;NC_003276.1	AP003602.1;AP003603.1;AP003604.1;AP003605.1;AP003606.1;BA000019.2;BA000020.2
23	Shewanella baltica	OS185	GCA_000017325.1	1.3566218977486437	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000017325.1	GCF_000017325.1	402882	Shewanella baltica OS185	OS185	current	Complete Genome	2	NC_009661.1;NC_009665.1	CP000753.1;CP000754.1
24	Rhodopirellula baltica	SH 1	GCA_000196115.1	1.3177841732417428	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000196115.1	GCF_000196115.1	243090	Rhodopirellula baltica SH 1	1	current	Complete Genome	1	NC_005027.1	BX119912.1
25	Chlorobium phaeovibrioides	DSM 265	GCA_000016085.1	1.2939175424119185	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000016085.1	GCF_000016085.1	290318	Chlorobium phaeovibrioides DSM 265	DSM 265	suppressed	Complete Genome	0		
26	Treponema denticola	ATCC 35405	GCA_000008185.1	1.2674647562518013	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000008185.1	GCF_000008185.1	243275	Treponema denticola ATCC 35405	ATCC 35405	current	Complete Genome	1	NC_002967.9	AE017226.1
27	Archaeoglobus fulgidus	DSM 4304	GCA_000008665.1	1.168267837618576	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000008665.1	GCF_000008665.1	224325	Archaeoglobus fulgidus DSM 4304	DSM 4304	current	Complete Genome	1	NC_000917.1	AE000782.1
28	Methanococcus maripaludis	C5	GCA_000016125.1	1.1540467948482063	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000016125.1	GCF_000016125.1	402880	Methanococcus maripaludis C5	C5	current	Complete Genome	2	NC_009135.1;NC_009136.1	CP000609.1;CP000610.1
29	Ignicoccus islandicus	DSM 13165	GCA_001481685.1	1.095389379111179	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_001481685.1	GCF_001481685.1	940295	Ignicoccus islandicus DSM 13165	DSM 13165	current	Complete Genome	1	NZ_CP006867.1	CP006867.1
30	Pseudomonas fluorescens	SBW25	GCA_000009225.1	1.069308679608532	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_931907645.1	GCF_000009225.2	216595	Pseudomonas [fluorescens] SBW25	SBW25	previous	Complete Genome	1	NC_012660.1	AM181176.4
31	Nanoarchaeum equitans	Kin4-M	GCA_000008085.1	0.9556564428044254	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000008085.1	GCF_000008085.1	228908	Nanoarchaeum equitans Kin4-M	Kin4-M	current	Complete Genome	1	NC_005213.1	AE017199.1
32	Akkermansia muciniphila	ATCC BAA-835	GCA_000020225.1	0.9075135785424313	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000020225.1	GCF_000020225.1	349741	Akkermansia muciniphila ATCC BAA-835	ATCC BAA-835	current	Complete Genome	1	NC_010655.1	CP001071.1
33	Caldicellulosiruptor saccharolyticus	DSM 8903	GCA_000016545.1	0.8910815662438224	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000016545.1	GCF_000016545.1	351627	Caldicellulosiruptor saccharolyticus DSM 8903	DSM 8903	current	Complete Genome	1	NC_009437.1	CP000679.1
