sample	hotspring	hotspring_common_name	region	broad_region_short	latitude	longitude	date	year	pH	temperature	conductivity	temperature_regime	type	sequencing_platform	metagenome_SRR	metagenome_SAMN	raw_Nsequences	filtered_Nsequences	metagenome2MAG_read_recruitment_rate
AB11F.1.1	AB11		Borax Lake	ALV	42.334721	-118.60296	2021.09.12	2021	7.04	78.4	2.52	70_80	crust	Illumina NextSeq2000	SRR32625403	SAMN47273329	10817626	4991884	0.060675
AB11F.3.1	AB11		Borax Lake	ALV	42.334799	-118.60293	2023.09.11	2023	7.1	73	2.38	70_80	mat	Illumina NovaSeq X Plus	SRR32674969	SAMN47273839	33403303	23748728	0.043735
AB20.0.1	AB20		Borax Lake	ALV	42.326657	-118.604	2020.08.10	2020	5.904074074	27	3.62	below_30	sediment	Illumina NextSeq2000	SRR32625382	SAMN47273200	7033046	3383700	0.25124
AB20.1.1	AB20		Borax Lake	ALV	42.326703	-118.60378	2021.09.12	2021	5.89	23.8	4.62	below_30	mud	Illumina NextSeq2000	SRR32625402	SAMN47273330	4801304	2446437	0.108635
AB20.2.1	AB20		Borax Lake	ALV	42.326643	-118.60398	2022.07.31	2022	6.02	27.5	3.72	below_30	mud	Illumina NovaSeq X Plus	SRR32674783	SAMN47273698	43264423	30927776	0.25056
AB20.3.1	AB20		Borax Lake	ALV	42.326668	-118.60392	2023.09.12	2023	6.76	26	3.2	below_30	mud	Illumina NovaSeq X Plus	SRR32674936	SAMN47273840	31327064	22465596	0.237315
AB22.0.1	AB22		Borax Lake	ALV	42.329737	-118.60395	2020.08.11	2020	7.343333333	80	2.05	80_100	sediment	Illumina NextSeq2000	SRR32625381	SAMN47273202	1419057	539777	0.271785
AB22.0.2	AB22		Borax Lake	ALV	42.329772	-118.60396	2020.08.11	2020	7.633333333	72.5	2.07	70_80	mat	Illumina NextSeq2000	SRR32625380	SAMN47273203	1610014	699653	0.126075
AB22.0.3	AB22		Borax Lake	ALV	42.329806	-118.60392	2020.08.11	2020	7.987777778	36.3	2.15	30_50	mat	Illumina NextSeq2000	SRR32625379	SAMN47273204	1901374	818762	0.19109
AB22.0.4	AB22		Borax Lake	ALV	42.329898	-118.60393	2020.08.11	2020	7.740740741	48.7	2.01	30_50	mat	Illumina NextSeq2000	SRR32625378	SAMN47273205	4993198	2429904	0.098785
AB22.0.5	AB22		Borax Lake	ALV	42.329948	-118.60394	2020.08.11	2020	7.321851852	71.8	2.04	70_80	mat	Illumina NextSeq2000	SRR32625377	SAMN47273206	717641	292835	0.060495
AB22.0.6	AB22		Borax Lake	ALV	42.329974	-118.60396	2020.08.11	2020	8.116666667	46.3	2.03	30_50	mat	Illumina NextSeq2000	SRR32625376	SAMN47273207	5404157	2556797	0.13201
AB22.0.7	AB22		Borax Lake	ALV	42.329998	-118.60395	2020.08.11	2020	8.256296296	45.6	2.01	30_50	mat	Illumina NextSeq2000	SRR32625374	SAMN47273208	2267022	1035835	0.168105
AB22.1.1	AB22		Borax Lake	ALV	42.329715	-118.60396	2021.09.12	2021	7.5	76.6	2.47	70_80	sediment	Illumina NextSeq2000	SRR32625401	SAMN47273331	5671761	2776565	0.31565
AB22.1.2	AB22		Borax Lake	ALV	42.329692	-118.60394	2021.09.12	2021	7.03	47.9	2.6	30_50	mat	Illumina NextSeq2000	SRR32625400	SAMN47273332	1439645	695970	0.07865
AB22.1.3	AB22		Borax Lake	ALV	42.329689	-118.60397	2021.09.12	2021	8.21	30		30_50	mat	Illumina NextSeq2000	SRR32625399	SAMN47273333	1326525	723262	0.11029
AB22.1.4	AB22		Borax Lake	ALV	42.329734	-118.60392	2021.09.12	2021	8.09	33.5	2.51	30_50	mat	Illumina NextSeq2000	SRR32625398	SAMN47273334	12095297	5770119	0.175415
AB22.1.5	AB22		Borax Lake	ALV	42.32988	-118.60397	2021.09.12	2021	7.08	52.2	2.49	50_70	mat	Illumina NextSeq2000	SRR32625362	SAMN47273335	1861898	1032782	0.090565
AB22.1.6	AB22		Borax Lake	ALV	42.329982	-118.60395	2021.09.12	2021	7.53	33.5	2.55	30_50	mat	Illumina NextSeq2000	SRR32625361	SAMN47273336	3597016	1672502	0.143145
AB22.1.7	AB22		Borax Lake	ALV	42.329966	-118.60397	2021.09.12	2021	7.53	33.5	2.55	30_50	mat	Illumina NextSeq2000	SRR32625360	SAMN47273337	480277	274486	0.16306
AB22.2.1	AB22		Borax Lake	ALV	42.329733	-118.60397	2022.07.31	2022	7.14	83.1	2.39	80_100	mat	Illumina NovaSeq X Plus	SRR32674772	SAMN47273699	33792676	22148304	0.127165
