contigIdx	contigIdxMate	AvgCoverage
272	12092	0.0846682
273	273	24.5123
273	475	0.731228
273	2681	0.105263
273	7980	0.204211
273	11048	2.48772
273	13096	0.526316
274	274	4.13568
274	4958	0.193216
275	275	5.91261
275	10579	0.299258
275	15932	0.122012
276	276	1.99765
276	4203	0.11303
276	17337	0.11617
277	277	8.32302
277	1166	0.00359523
277	3810	0.00352332
277	5216	0.0214755
277	5584	0.00321173
277	10910	0.00357126
277	11494	0.00359523
278	278	1.69952
279	279	4.0374
279	2867	0.103878
279	4649	0.207756
279	7219	0.204294
280	280	5.55358
280	1698	0.0293055
280	8882	0.0870372
281	281	2.33697
282	282	2.25975
282	16550	0.132979
283	283	8.14325
283	5462	0.0339142
283	7398	0.0048495
283	15656	0.00455853
283	15897	0.00481717
284	284	6.39495
284	5001	0.0742697
284	7774	0.0495131
284	11430	0.0975408
285	285	6.65342
285	2357	0.00698747
285	14856	0.00670797
286	286	7.04059
286	6726	0.0707881
286	12256	0.424729
286	12869	0.843794
287	287	2.26136
288	288	2.85797
289	289	3.80472
289	12570	0.635908
289	13019	0.209585
290	290	3.88223
290	2367	0.180929
291	291	4.1815
291	3593	0.210231
291	9590	0.51787
292	292	2.40246
292	5723	0.230415
293	293	2.11672
294	294	4.17716
294	11767	0.237969
294	12852	0.158117
295	295	6.22681
295	1935	0.175981
295	9742	0.0870987
296	296	3.54237
296	1928	0.384694
297	297	3.5113
297	6463	0.706215
298	199	0.251756
298	298	3.68643
298	2234	0.0421467
299	299	3.50863
300	300	2.0144
301	301	3.37882
301	11357	0.533214
302	302	3.74234
302	762	0.035621
302	5631	0.0353835
302	10824	0.071242
303	303	63.6017
303	3203	4.25447
303	8446	0.0980782
303	12217	0.0987409
303	13789	3.56527
303	14003	3.85288
303	14018	3.06826
304	304	6.01147
304	11126	0.14243
305	305	13.539
305	771	0.0132386
305	923	0.00608976
305	2285	0.0132386
305	3717	0.0456732
305	3779	0.0198579
305	6390	0.0326994
305	6900	0.00622214
305	7930	0.0330524
305	8143	0.0066193
305	8455	0.0463351
305	10054	0.0066193
305	13918	0.0132386
305	15436	0.0852125
305	16292	0.00657517
305	16539	0.0132386
305	17579	0.0264331
305	17657	0.0592648
305	17663	0.0395834
305	17803	0.0132386
306	306	2.11166
307	307	2.99496
307	11683	0.37395
308	308	4.05906
309	309	2.43643
310	310	2.54651
311	311	7.11458
311	6194	0.461806
311	9952	0.0570988
312	312	2.89502
313	313	3.48688
314	314	3.68952
314	15460	0.711429
315	315	7.92663
315	4046	0.094948
315	5225	0.0190404
315	16568	0.113354
315	17502	0.0190404
316	316	4.30202
316	1895	0.0778412
317	317	2.77316
318	318	2.31676
319	319	12.9111
319	1755	1.22943
319	6429	0.124688
319	14962	0.124688
319	16382	3.3483
320	320	7.01644
320	1752	0.0419382
320	6071	0.25503
320	11864	0.207991
321	321	2.86804
322	322	4.3499
323	323	2.60745
324	324	2.72343
325	325	3.2725
326	326	5.2184
327	327	6.70397
328	328	2.49391
328	598	0.0761421
