LKTFeature	Gram	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species	LKT
LKT__s__Desulfovibrio_piger	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__Desulfovibrio_piger	LKT__s__Desulfovibrio_piger
LKT__s__Citrobacter_freundii	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter_freundii	LKT__s__Citrobacter_freundii
LKT__s__Desulfovibrio_Unclassified	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__Desulfovibrio_Unclassified_6_1_46AFAA	LKT__s__Desulfovibrio_Unclassified
LKT__s__Ruminococcus_callidus	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus_callidus	LKT__s__Ruminococcus_callidus
LKT__s__Blastocystis_Unclassified_subtype_6	N_A	d__Eukaryota	k__Missing	p__Missing	c__Bigyra	o__Opalinata	f__Blastocystidae	g__Blastocystis	s__Blastocystis_Unclassified_subtype_6	LKT__s__Blastocystis_Unclassified_subtype_6
LKT__g__Citrobacter	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Unclassified	LKT__g__Citrobacter
LKT__f__Rikenellaceae	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Unclassified	s__Unclassified	LKT__f__Rikenellaceae
LKT__s__Clostridium_sporosphaeroides	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Missing	s__Clostridium_sporosphaeroides	LKT__s__Clostridium_sporosphaeroides
LKT__s__Sutterella_parvirubra	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Sutterellaceae	g__Sutterella	s__Sutterella_parvirubra	LKT__s__Sutterella_parvirubra
LKT__s__Catenibacterium_mitsuokai	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Catenibacterium	s__Catenibacterium_mitsuokai	LKT__s__Catenibacterium_mitsuokai
LKT__s__Acidaminococcus_Unclassified	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Acidaminococcus	s__Acidaminococcus_Unclassified_AM33_14BH	LKT__s__Acidaminococcus_Unclassified
LKT__f__Akkermansiaceae	negative	d__Bacteria	k__Bacteria	p__Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Unclassified	s__Unclassified	LKT__f__Akkermansiaceae
LKT__s__Enterobacter_cloacae	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter_cloacae	LKT__s__Enterobacter_cloacae
LKT__s__Ruminococcus_champanellensis	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus_champanellensis	LKT__s__Ruminococcus_champanellensis
LKT__g__Butyricicoccus	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Butyricicoccus	s__Unclassified	LKT__g__Butyricicoccus
LKT__c__Actinobacteria	positive	d__Bacteria	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Unclassified	f__Unclassified	g__Unclassified	s__Unclassified	LKT__c__Actinobacteria
LKT__s__Collinsella_Unclassified	positive	d__Bacteria	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__Collinsella_Unclassified_OF03_4AA	LKT__s__Collinsella_Unclassified
LKT__s__Bacteriophage_Unclassified	N_A	d__Viruses	k__Viruses	p__Missing	c__Missing	o__Missing	f__Missing	g__Missing	s__Bacteriophage_Unclassified	LKT__s__Bacteriophage_Unclassified
LKT__s__Streptococcus_thermophilus	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_thermophilus	LKT__s__Streptococcus_thermophilus
LKT__s__Blautia_massiliensis	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Blautia	s__Blautia_massiliensis	LKT__s__Blautia_massiliensis
LKT__s__Erysipelotrichaceae_bacterium	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Missing	s__Erysipelotrichaceae_bacterium_AF19_24AC	LKT__s__Erysipelotrichaceae_bacterium
LKT__s__Candidatus_Borkfalkia	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Candidatus_Borkfalkiales	f__Candidatus_Borkfalkiaceae	g__Candidatus_Borkfalkia	s__Candidatus_Borkfalkia_ceftriaxoniphila	LKT__s__Candidatus_Borkfalkia
LKT__s__Streptococcus_salivarius	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_salivarius	LKT__s__Streptococcus_salivarius
LKT__s__Prevotella_intermedia	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__Prevotella_intermedia	LKT__s__Prevotella_intermedia
LKT__s__Sutterella_megalosphaeroides	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Sutterellaceae	g__Sutterella	s__Sutterella_megalosphaeroides	LKT__s__Sutterella_megalosphaeroides
LKT__s__Bifidobacterium_bifidum	positive	d__Bacteria	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium_bifidum	LKT__s__Bifidobacterium_bifidum
LKT__s__Prevotella_ruminicola	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__Prevotella_ruminicola	LKT__s__Prevotella_ruminicola
LKT__s__Duncaniella_Unclassified	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Duncaniella	s__Duncaniella_Unclassified_TLL_A3	LKT__s__Duncaniella_Unclassified
LKT__f__Erysipelotrichaceae	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Unclassified	s__Unclassified	LKT__f__Erysipelotrichaceae
LKT__s__Desulfovibrio_fairfieldensis	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__Desulfovibrio_fairfieldensis	LKT__s__Desulfovibrio_fairfieldensis
