Model	HorizonDays	FalsePositiveRate	TruePositiveRate	AUC
Clinical	365	0.446428571428571	0.743934417882329	0.629307099758868
Clinical	365	0.446428571428571	0.763792357239237	0.629307099758868
Clinical	365	0.464285714285714	0.763792357239237	0.629307099758868
Clinical	365	0.464285714285714	0.783344789836809	0.629307099758868
Clinical	365	0.482142857142857	0.783344789836809	0.629307099758868
Clinical	365	0.5	0.783344789836809	0.629307099758868
Clinical	365	0.517857142857143	0.783344789836809	0.629307099758868
Clinical	365	0.535714285714286	0.783344789836809	0.629307099758868
Clinical	365	0.535714285714286	0.80289722243438	0.629307099758868
Clinical	365	0.535714285714286	0.823086127447237	0.629307099758868
Clinical	365	0.535714285714286	0.842638560044808	0.629307099758868
Clinical	365	0.553571428571428	0.842638560044808	0.629307099758868
Clinical	365	0.553571428571428	0.842638560044808	0.629307099758868
Clinical	365	0.553571428571428	0.862190992642379	0.629307099758868
Clinical	365	0.571428571428571	0.862190992642379	0.629307099758868
Clinical	365	0.571428571428571	0.862190992642379	0.629307099758868
Clinical	365	0.589285714285714	0.862190992642379	0.629307099758868
Clinical	365	0.607142857142857	0.862190992642379	0.629307099758868
Clinical	365	0.625	0.862190992642379	0.629307099758868
Clinical	365	0.642857142857143	0.862190992642379	0.629307099758868
Clinical	365	0.660714285714286	0.862190992642379	0.629307099758868
Clinical	365	0.678571428571428	0.862190992642379	0.629307099758868
Clinical	365	0.696428571428571	0.862190992642379	0.629307099758868
Clinical	365	0.714285714285714	0.862190992642379	0.629307099758868
Clinical	365	0.714285714285714	0.88174342523995	0.629307099758868
Clinical	365	0.732142857142857	0.88174342523995	0.629307099758868
Clinical	365	0.75	0.88174342523995	0.629307099758868
Clinical	365	0.767857142857143	0.88174342523995	0.629307099758868
Clinical	365	0.767857142857143	0.901295857837521	0.629307099758868
Clinical	365	0.785714285714286	0.901295857837521	0.629307099758868
Clinical	365	0.803571428571428	0.901295857837521	0.629307099758868
Clinical	365	0.821428571428571	0.901295857837521	0.629307099758868
Clinical	365	0.821428571428571	0.920848290435093	0.629307099758868
Clinical	365	0.839285714285714	0.920848290435093	0.629307099758868
Clinical	365	0.839285714285714	0.940706229792001	0.629307099758868
Clinical	365	0.857142857142857	0.940706229792001	0.629307099758868
Clinical	365	0.875	0.940706229792001	0.629307099758868
Clinical	365	0.892857142857143	0.940706229792001	0.629307099758868
Clinical	365	0.892857142857143	0.940706229792001	0.629307099758868
Clinical	365	0.910714285714286	0.940706229792001	0.629307099758868
