hotspring	ProcessID	Element	Process	RecoveredMAGCarrierFraction	RecruitmentRate	Samples
AB09	dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	0.10110929223495435	0.082555	5
AB09	dsr	Sulfur	DsrAB sulfite/sulfide axis	0.016308983691016302	0.082555	5
AB09	hao	Nitrogen	Hydroxylamine oxidation	0.07681215362430724	0.082555	5
AB09	mcr	Carbon	Methyl-coenzyme M reductase	0.0	0.082555	5
AB09	n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	0.18408081591918404	0.082555	5
AB09	n_fix	Nitrogen	Nitrogen fixation	0.097515	0.082555	5
AB09	nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	0.013454	0.082555	5
AB09	nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	0.01406298593701406	0.082555	5
AB09	nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	0.1399268600731399	0.082555	5
AB09	no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	0.0026339973660026335	0.082555	5
AB09	phs	Sulfur	Thiosulfate/polysulfide reduction	0.0	0.082555	5
AB09	rtca	Carbon	Reverse TCA fixation	0.0032779672203277965	0.082555	5
AB09	sox	Sulfur	Thiosulfate oxidation by Sox	0.008903999999999999	0.082555	5
AB09	sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	0.015500891493759545	0.082555	5
AB09	sulfur_reduction	Sulfur	Elemental sulfur reduction	0.0	0.082555	5
AB09	three_hp	Carbon	3-hydroxypropionate bicycle	0.07019414038828078	0.082555	5
AB09	wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	0.038884961115038884	0.082555	5
AB11	anammox	Nitrogen	Anaerobic ammonium oxidation	0.0	0.0783025	18
AB11	cbb	Carbon	Calvin-Benson-Bassham fixation	0.09994239858720283	0.0783025	18
AB11	cummo	Carbon/Nitrogen	Copper membrane monooxygenase	0.00714998141205004	0.0783025	18
AB11	dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	0.11028261033522066	0.0783025	18
AB11	dsr	Sulfur	DsrAB sulfite/sulfide axis	0.007676492323507676	0.0783025	18
AB11	hao	Nitrogen	Hydroxylamine oxidation	0.08438499870233754	0.0783025	18
AB11	mcr	Carbon	Methyl-coenzyme M reductase	0.0	0.0783025	18
AB11	n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	0.2940884201274372	0.0783025	18
AB11	n_fix	Nitrogen	Nitrogen fixation	0.033944995536033945	0.0783025	18
AB11	nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	0.01742152638904432	0.0783025	18
AB11	nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	0.012326500308512326	0.0783025	18
AB11	nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	0.15993558201640187	0.0783025	18
AB11	no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	0.014280521076034667	0.0783025	18
AB11	phs	Sulfur	Thiosulfate/polysulfide reduction	0.0	0.0783025	18
AB11	rtca	Carbon	Reverse TCA fixation	0.012498491487083504	0.0783025	18
AB11	sox	Sulfur	Thiosulfate oxidation by Sox	0.018403537428594505	0.0783025	18
AB11	sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	0.01414498663002674	0.0783025	18
AB11	sulfur_reduction	Sulfur	Elemental sulfur reduction	0.0	0.0783025	18
AB11	three_hp	Carbon	3-hydroxypropionate bicycle	0.046880097730250286	0.0783025	18
AB11	wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	0.07702442297557702	0.0783025	18
AB20	anammox	Nitrogen	Anaerobic ammonium oxidation	0.0	0.2439375	4
AB20	cbb	Carbon	Calvin-Benson-Bassham fixation	0.23539950158128747	0.2439375	4
AB20	cummo	Carbon/Nitrogen	Copper membrane monooxygenase	0.0	0.2439375	4
AB20	dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	0.06931536852681795	0.2439375	4
AB20	dsr	Sulfur	DsrAB sulfite/sulfide axis	0.3016698228520507	0.2439375	4
AB20	hao	Nitrogen	Hydroxylamine oxidation	0.1157550837075147	0.2439375	4
AB20	mcr	Carbon	Methyl-coenzyme M reductase	0.0	0.2439375	4
AB20	n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	0.0568154127362618	0.2439375	4
AB20	n_fix	Nitrogen	Nitrogen fixation	0.061060365323855524	0.2439375	4
AB20	nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	0.47116554045492476	0.2439375	4
AB20	nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	0.507761958937641	0.2439375	4
AB20	nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	0.13846163782919102	0.2439375	4
AB20	no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	0.14359813399069876	0.2439375	4
AB20	phs	Sulfur	Thiosulfate/polysulfide reduction	0.0	0.2439375	4
AB20	rtca	Carbon	Reverse TCA fixation	0.0	0.2439375	4
AB20	sox	Sulfur	Thiosulfate oxidation by Sox	0.10471706889145194	0.2439375	4
AB20	sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	0.24776575887776103	0.2439375	4
