sample	hotspring	hotspring_common_name	broad_region_short	year	pH	temperature	temperature_regime	is_hotspring	filtered_Nsequences	metagenome2MAG_read_recruitment_rate
AM02.1.4	AM02		BLR	2021	8.43	55.6	50_70	yes	240094	0.179355
AM02.1.5	AM02		BLR	2021	8.5	55.2	50_70	yes	522222	0.197515
AM02.2.1	AM02		BLR	2022	8.41	55.2	50_70	yes	21020194	0.15408
AM02.2.2	AM02		BLR	2022	8.44	56.4	50_70	yes	29916165	0.123395
AM02.2.3	AM02		BLR	2022	8.82	50.0	50_70	yes	27049146	0.151815
AM02.2.4	AM02		BLR	2022	8.48	55.4	50_70	yes	36692543	0.17921
AM02.2.5	AM02		BLR	2022	8.49	54.8	50_70	yes	32922928	0.210205
AM02.2.6	AM02		BLR	2022	8.7	48.5	30_50	yes	33693487	0.166115
AM02.2.7	AM02		BLR	2022	8.55	51.2	50_70	yes	28519859	0.21802
AM02.2.8	AM02		BLR	2022	8.56	51.4	50_70	yes	18798936	0.17389
AM02.3.1	AM02		BLR	2023	6.78	56.7	50_70	yes	19705087	0.148935
AM02.3.2	AM02		BLR	2023	6.75	56.5	50_70	yes	24459254	0.08295
AM02.3.3	AM02		BLR	2023	6.78	56.2	50_70	yes	21584664	0.13817
AM02.3.4	AM02		BLR	2023	6.78	55.7	50_70	yes	21926990	0.154195
AM02.3.5	AM02		BLR	2023	6.78	52.7	50_70	yes	22414339	0.13214
AM02.3.6	AM02		BLR	2023	6.78	55.2	50_70	yes	28531401	0.18178
AM02.3.7	AM02		BLR	2023	6.77	44.9	30_50	yes	19615354	0.133875
AM02.3.8	AM02		BLR	2023	6.78	52.1	50_70	yes	26393609	0.171185
AR01A.0.1	AR01	Double Hot Springs	BLR	2020	7.751481481	76.5	70_80	yes	935944	0.05094
AR01A.3.1	AR01	Double Hot Springs	BLR	2023	6.79	74.6	70_80	yes	23779681	0.054115
AR01B.0.1	AR01	Double Hot Springs	BLR	2020	8.062962963	57.6	50_70	yes	890682	0.10497
AR01B.1.1	AR01	Double Hot Springs	BLR	2021	8.1	55.3	50_70	yes	942662	0.15597
AR01B.2.1	AR01	Double Hot Springs	BLR	2022	8.05	55.3	50_70	yes	28038938	0.14713
AR01B.3.1	AR01	Double Hot Springs	BLR	2023	7.8	86.5	80_100	yes	25736566	0.073575
AR01C.0.2	AR01	Double Hot Springs	BLR	2020	7.622592593	83.6	80_100	yes	4466110	0.069055
AR01C.3.1	AR01	Double Hot Springs	BLR	2023	6.8	81.3	80_100	yes	23496805	0.15425
AR01D.1.1	AR01	Double Hot Springs	BLR	2021	8.41	37.9	30_50	yes	1215459	0.06896
AR01D.1.2	AR01	Double Hot Springs	BLR	2021	7.5	62.5	50_70	yes	821894	0.111645
AR01D.3.1	AR01	Double Hot Springs	BLR	2023	6.79	80.5	80_100	yes	20811238	0.199085
AR08.1.1	AR08	Casey hot springs	BLR	2021	8.01	28.9	below_30	yes	2044576	0.14644
AR08.1.2	AR08	Casey hot springs	BLR	2021	7.77	65.7	50_70	yes	940299	0.0619
AR08.1.3	AR08	Casey hot springs	BLR	2021		28.9	below_30	yes	5089702	0.07316
AR08.1.4	AR08	Casey hot springs	BLR	2021	6.61	29.0	below_30	yes	8281985	0.190795
AR10.2.1	AR10	Black Rock Hot Springs	BLR	2022	7.55	49.6	30_50	yes	48006507	0.2739
AR10.2.2	AR10	Black Rock Hot Springs	BLR	2022	7.55	49.6	30_50	yes	22239074	0.24559
AR10.2.3	AR10	Black Rock Hot Springs	BLR	2022	7.7	47.7	30_50	yes	22152738	0.26303
AR10.2.4	AR10	Black Rock Hot Springs	BLR	2022	7.79	46.3	30_50	yes	23903476	0.212845
AR10.2.5	AR10	Black Rock Hot Springs	BLR	2022	4.74	46.6	30_50	yes	26820015	0.157955
AR10.3.1	AR10	Black Rock Hot Springs	BLR	2023	6.77	45.3	30_50	yes	26331284	0.15236
AR10.3.2	AR10	Black Rock Hot Springs	BLR	2023	6.77	45.6	30_50	yes	28564365	0.154315
AR10.3.3	AR10	Black Rock Hot Springs	BLR	2023	6.77	44.3	30_50	yes	23243285	0.14907
AR10.3.4	AR10	Black Rock Hot Springs	BLR	2023	6.77	42.8	30_50	yes	20832584	0.228215
AR10.3.5	AR10	Black Rock Hot Springs	BLR	2023	6.77	42.2	30_50	yes	21304342	0.219855
AR11.2.1	AR11	Trego hot springs	BLR	2022	9.05	40.7	30_50	yes	9299019	0.043165
AR11.2.2	AR11	Trego hot springs	BLR	2022	8.17	68.1	50_70	yes	23117753	0.146655
AR11.2.3	AR11	Trego hot springs	BLR	2022	8.33	58.0	50_70	yes	20140342	0.09989
AR11.2.4	AR11	Trego hot springs	BLR	2022	8.33	40.0	30_50	yes	21411889	0.027665
AW01.3.1	AW01		GBD	2023	6.66	55.6	50_70	yes	25352989	0.194935
AW01.3.2	AW01		GBD	2023	6.68	50.4	50_70	yes	21291990	0.16829
AW03.3.1	AW03		GBD	2023	7.13	28.8	below_30	yes	29363059	0.00816
AY01.0.3	AY01		YEL	2020	8.107644444	68.3	50_70	yes	2921271	0.06328
AY01.0.4	AY01		YEL	2020	8.365422222	53.0	50_70	yes	3192783	0.089355
AY01.0.5	AY01		YEL	2020	8.128266667	70.4	70_80	yes	6989454	0.07196
AY01.0.6	AY01		YEL	2020	8.9944	27.5	below_30	yes	3219813	0.032315
AY01.0.7	AY01		YEL	2020	9.303733333	30.5	30_50	yes	5225009	0.07161
AY01.0.8	AY01		YEL	2020	9.221244444	64.4	50_70	yes	966953	0.103675
AY01.1.1	AY01		YEL	2021		28.2	below_30	yes	1265099	0.04864
AY01.1.3	AY01		YEL	2021	8.08	69.0	50_70	yes	9060048	0.089485
AY01.1.4	AY01		YEL	2021	8.22	62.1	50_70	yes	526051	0.09921
AY01.1.5	AY01		YEL	2021	8.53	26.6	below_30	yes	4557626	0.0192
AY01.1.6	AY01		YEL	2021		27.6	below_30	yes	1037308	0.09555
AY01.1.7	AY01		YEL	2021	8.11	64.0	50_70	yes	643897	0.09045
AY01.2.2	AY01		YEL	2022	8.24	57.5	50_70	yes	26843861	0.063335
AY01.2.3	AY01		YEL	2022	8.2	50.2	50_70	yes	20951325	0.108525
AY01.2.4	AY01		YEL	2022	8.5	33.3	30_50	yes	19836326	0.09956
AY01.2.5	AY01		YEL	2022	8.16	58.8	50_70	yes	21111937	0.089285
AY01.2.6	AY01		YEL	2022	8.08	66.1	50_70	yes	35218871	0.088745
AY01.2.7	AY01		YEL	2022	8.64	33.9	30_50	yes	22849765	0.09777
AY01.2.8	AY01		YEL	2022	8.61	26.4	below_30	yes	20759262	0.08428
AY01.3.1	AY01		YEL	2023	7.5	19.4	below_30	yes	3641254	0.054295
AY01.3.2	AY01		YEL	2023	8.34	66.5	50_70	yes	16933472	0.068855
AY01.3.3	AY01		YEL	2023	8.46	67.4	50_70	yes	17976638	0.07695
AY01.3.4	AY01		YEL	2023	8.87	47.3	30_50	yes	21147878	0.080625
AY01.3.5	AY01		YEL	2023	8.63	56.7	50_70	yes	21794518	0.07985
AY01.3.6	AY01		YEL	2023	8.45	64.3	50_70	yes	22891328	0.086905
AY01.3.8	AY01		YEL	2023	9.03	26.5	below_30	yes	13288359	0.0348
AY02.0.1	AY02		YEL	2020	8.6232	59.8	50_70	yes	4941601	0.204185
AY02.0.2	AY02		YEL	2020	9.726488889	30.4	30_50	yes	3563619	0.08026
AY02.0.3	AY02		YEL	2020	8.6232	59.8	50_70	yes	4787301	0.13318
AY02.0.4	AY02		YEL	2020	8.746933333	53.0	50_70	yes	4341359	0.15097
AY02.0.5	AY02		YEL	2020	8.705688889	60.1	50_70	yes	5107681	0.187115
AY02.0.6	AY02		YEL	2020	8.705688889	60.1	50_70	yes	26383659	0.15451
AY02.1.1	AY02		YEL	2021	8.67	60.1	50_70	yes	2591390	0.13163
AY02.1.2	AY02		YEL	2021	8.51	58.4	50_70	yes	171611	0.128045
AY02.1.3	AY02		YEL	2021		34.6	30_50	yes	1870160	0.0652
AY02.1.4	AY02		YEL	2021	8.52	58.4	50_70	yes	3335884	0.148625
AY02.2.1	AY02		YEL	2022	8.56	58.4	50_70	yes	21942217	0.136735
AY02.2.2	AY02		YEL	2022	8.49	58.4	50_70	yes	21434493	0.163205
AY02.2.3	AY02		YEL	2022	8.5	58.2	50_70	yes	25473792	0.10504
AY02.2.4	AY02		YEL	2022	8.04	39.9	30_50	yes	19610009	0.08998
AY02.2.5	AY02		YEL	2022	8.51	57.8	50_70	yes	28323547	0.14248
AY02.2.6	AY02		YEL	2022	7.32	30.3	30_50	yes	17996130	0.04977
AY02.3.1	AY02		YEL	2023	8.83	57.9	50_70	yes	26810406	0.14742
AY02.3.2	AY02		YEL	2023	8.82	58.0	50_70	yes	17200448	0.12062
AY02.3.3	AY02		YEL	2023	8.84	57.5	50_70	yes	27685988	0.144255
AY02.3.4	AY02		YEL	2023	8.82	57.4	50_70	yes	29336739	0.13332
AY02.3.5	AY02		YEL	2023	9.44	31.8	30_50	yes	21627558	0.122615
AY02.3.6	AY02		YEL	2023	8.88	55.6	50_70	yes	25017368	0.15291
AY03.0.5	AY03	Rabbit Creek Source Pool	YEL	2020	9.324355556	62.9	50_70	yes	6251755	0.08605
AY03.0.6	AY03	Rabbit Creek Source Pool	YEL	2020	9.18	74.8	70_80	yes	959108	0.201355
AY03.0.7	AY03	Rabbit Creek Source Pool	YEL	2020	9.18	74.8	70_80	yes	11939067	0.08249
AY03.0.8	AY03	Rabbit Creek Source Pool	YEL	2020	9.18	74.8	70_80	yes	886854	0.07126
AY03.1.3	AY03	Rabbit Creek Source Pool	YEL	2021	9.14	65.4	50_70	yes	5713712	0.078725
AY03.1.4	AY03	Rabbit Creek Source Pool	YEL	2021	9.11	67.8	50_70	yes	2460650	0.079825
AY03.1.5	AY03	Rabbit Creek Source Pool	YEL	2021	9.2	60.6	50_70	yes	6298007	0.098045
