Category	CheckID	Status	Detail
branch	standard8-mock-c005-h2-bracken-outcome	PASS	estimated
branch	standard8-human-c005-h2-input-conservation	PASS	10683+9317
branch	standard8-human-c005-h2-output-rows	PASS	20000
branch	standard8-human-c005-h2-output-report-parity	PASS	10683;9317
branch	standard8-human-c005-h2-paired-structure	PASS	20000;20000
branch	standard8-human-c005-h2-bracken-rank	PASS	1
branch	standard8-human-c005-h2-bracken-outcome	PASS	estimated
control	standard8-human-c005-h2-human-compatible-partition	PASS	42+10640+1
branch	standard8-mock-c010-h2-input-conservation	PASS	13548+86443
branch	standard8-mock-c010-h2-output-rows	PASS	99991
branch	standard8-mock-c010-h2-output-report-parity	PASS	13548;86443
branch	standard8-mock-c010-h2-paired-structure	PASS	99991;99991
branch	standard8-mock-c010-h2-bracken-rank	PASS	41
branch	standard8-mock-c010-h2-bracken-outcome	PASS	estimated
branch	standard8-human-c010-h2-input-conservation	PASS	1010+18990
branch	standard8-human-c010-h2-output-rows	PASS	20000
branch	standard8-human-c010-h2-output-report-parity	PASS	1010;18990
branch	standard8-human-c010-h2-paired-structure	PASS	20000;20000
branch	standard8-human-c010-h2-bracken-rank	PASS	1
branch	standard8-human-c010-h2-bracken-outcome	PASS	estimated
control	standard8-human-c010-h2-human-compatible-partition	PASS	13+997+0
branch	standard8-mock-c020-h2-input-conservation	PASS	55+99936
branch	standard8-mock-c020-h2-output-rows	PASS	99991
branch	standard8-mock-c020-h2-output-report-parity	PASS	55;99936
branch	standard8-mock-c020-h2-paired-structure	PASS	99991;99991
branch	standard8-mock-c020-h2-bracken-rank	PASS	0
branch	standard8-mock-c020-h2-bracken-outcome	PASS	no_eligible_species_above_threshold
branch	standard8-human-c020-h2-input-conservation	PASS	5+19995
branch	standard8-human-c020-h2-output-rows	PASS	20000
branch	standard8-human-c020-h2-output-report-parity	PASS	5;19995
branch	standard8-human-c020-h2-paired-structure	PASS	20000;20000
branch	standard8-human-c020-h2-bracken-rank	PASS	0
branch	standard8-human-c020-h2-bracken-outcome	PASS	no_eligible_species_above_threshold
control	standard8-human-c020-h2-human-compatible-partition	PASS	3+2+0
branch	standard8-mock-c050-h2-input-conservation	PASS	0+99991
branch	standard8-mock-c050-h2-output-rows	PASS	99991
branch	standard8-mock-c050-h2-output-report-parity	PASS	0;99991
branch	standard8-mock-c050-h2-paired-structure	PASS	99991;99991
branch	standard8-mock-c050-h2-bracken-rank	PASS	0
