Term	GenesWithTerm	FractionalGeneEquivalent	MOCK1FractionalRawReads	MOCK2FractionalRawReads
ko:K03527	26	21.166666666666664	871.8333333333334	813.8333333333334
ko:K03588	26	25.0	948.5	1058.5
ko:K03702	26	26.0	1862.0	1866.0
ko:K03709	26	24.5	332.5	303.0
ko:K03734	26	24.5	858.5	810.25
ko:K03738	26	26.0	1046.0	957.0
ko:K04042	26	23.5	1415.75	1404.75
ko:K05515	26	26.0	1653.0	1607.0
ko:K06867	26	21.7	471.1	512.2
ko:K07053	26	26.0	807.0	832.0
ko:K07154	26	25.2	605.4	629.2
ko:K07238	26	26.0	644.0	657.0
ko:K07333	26	26.0	1220.0	1264.0
ko:K08301	26	24.833333333333336	1224.0	1333.1666666666667
ko:K11753	26	26.0	813.0	760.0
ko:K14415	26	26.0	1763.0	1702.0
ko:K00003	25	23.0	1037.0	938.5
ko:K00053	25	25.0	925.0	933.0
ko:K00099	25	25.0	944.0	963.0
ko:K00104	25	20.333333333333332	495.8333333333333	525.3333333333334
ko:K00333	25	18.333333333333336	705.5	725.0
ko:K00343	25	23.0	810.5	728.0
ko:K00606	25	25.0	695.0	675.0
ko:K00620	25	24.5	1160.0	1235.0
ko:K00784	25	24.0	854.0	852.5
ko:K00930	25	23.0	941.5	879.0
ko:K00931	25	25.0	880.0	873.0
ko:K00937	25	24.5	799.5	732.0
ko:K00970	25	20.0	672.5	655.0
ko:K01104	25	22.7	265.3	314.0
ko:K01480	25	20.333333333333332	870.4999999999999	907.5
ko:K01496	25	18.9	244.9	221.1
ko:K01653	25	25.0	527.0	513.0
ko:K01776	25	25.0	453.0	461.0
ko:K01783	25	25.0	616.0	544.0
ko:K01903	25	23.0	766.0	766.0
ko:K01929	25	23.5	1124.5	1019.0
ko:K01995	25	23.0	481.0	511.5
ko:K02227	25	25.0	606.0	637.0
ko:K02358	25	25.0	1182.0	1198.0
ko:K02406	25	25.0	1015.0	1047.0
ko:K02435	25	25.0	230.0	259.0
ko:K02895	25	25.0	316.0	316.0
ko:K03124	25	25.0	687.0	750.0
ko:K03431	25	22.333333333333332	1239.3333333333333	1269.0
ko:K03522	25	24.5	732.5	723.0
ko:K03544	25	25.0	1052.0	1116.0
ko:K03553	25	25.0	913.0	915.0
ko:K03555	25	25.0	2131.0	2235.0
ko:K03637	25	24.333333333333336	431.0	413.3333333333333
ko:K04066	25	24.0	2115.5	1916.5
ko:K04096	25	25.0	936.0	894.0
ko:K05568	25	19.0	1087.8333333333333	1145.8333333333333
ko:K06024	25	25.0	598.0	581.0
ko:K06168	25	25.0	1068.0	1031.0
ko:K06207	25	25.0	1019.0	1017.0
ko:K06949	25	25.0	763.0	746.0
ko:K07043	25	25.0	444.0	445.0
ko:K07056	25	25.0	657.0	680.0
ko:K07089	25	25.0	895.0	930.0
ko:K07316	25	20.5	528.0	513.0
ko:K07482	25	25.0	718.0	689.0
ko:K08309	25	24.0	754.0	811.5
ko:K15977	25	24.5	228.0	221.0
ko:K16786	25	12.916666666666666	824.0833333333333	855.0
ko:K17828	25	21.166666666666668	913.1666666666666	838.3333333333333
ko:K20444	25	19.4	817.0333333333333	814.0333333333334
ko:K00338	24	21.166666666666664	267.1666666666667	268.33333333333337
ko:K00390	24	21.366666666666667	814.4666666666667	880.6666666666667
ko:K00590	24	17.5	756.0	689.5
ko:K00772	24	20.5	593.75	568.5
ko:K00773	24	23.25	974.75	871.0
ko:K00799	24	23.5	250.0	228.0
ko:K00833	24	22.5	924.0	903.0
ko:K00859	24	24.0	490.0	491.0
ko:K00864	24	24.0	1182.0	1191.0
ko:K00919	24	24.0	696.0	752.0
ko:K00940	24	24.0	271.0	294.0
ko:K00941	24	18.75	454.5833333333333	430.00000000000006
ko:K00986	24	23.0	1853.5	1781.5
ko:K01000	24	24.0	997.0	974.0
ko:K01151	24	24.0	900.0	950.0
ko:K01207	24	21.333333333333336	755.3333333333333	958.0
ko:K01255	24	24.0	811.0	785.0
ko:K01271	24	18.0	799.0	754.0
ko:K01534	24	24.0	1299.0	1276.0
ko:K01595	24	24.0	1146.0	1169.0
ko:K01876	24	24.0	1565.0	1466.0
ko:K02056	24	20.4	1291.5	1345.1
ko:K02065	24	23.0	379.5	408.0
ko:K02160	24	20.98333333333333	168.51666666666665	157.58333333333331
ko:K02169	24	21.0	337.0	336.0
ko:K02237	24	22.0	407.66666666666663	426.3333333333333
ko:K02304	24	22.083333333333332	376.5	347.4166666666667
ko:K02340	24	24.0	913.0	911.0
ko:K02341	24	22.0	699.0	719.5
ko:K02687	24	24.0	848.0	818.0
ko:K02768	24	9.092857142857143	181.71904761904761	178.45238095238093
ko:K02835	24	24.0	903.0	899.0
ko:K02892	24	24.0	259.0	225.0
ko:K02907	24	24.0	241.0	255.0
ko:K03074	24	24.0	918.0	907.0
ko:K03170	24	24.0	2760.0	2914.0
ko:K03284	24	22.0	823.0	793.5
ko:K03306	24	21.5	1252.5	1378.0
ko:K03327	24	24.0	825.0	809.0
ko:K03438	24	24.0	729.0	788.0
ko:K03575	24	24.0	420.0	463.0
ko:K03722	24	22.5	895.0	980.0
ko:K03737	24	21.0	1191.0	1220.0
ko:K03744	24	24.0	620.0	641.0
ko:K03770	24	18.833333333333332	640.8333333333334	629.5
ko:K03979	24	24.0	968.0	986.0
ko:K04078	24	24.0	192.0	162.0
ko:K04485	24	24.0	1110.0	1096.0
ko:K04488	24	23.5	361.0	394.0
ko:K04655	24	24.0	856.0	918.0
ko:K05896	24	24.0	719.0	759.0
ko:K06287	24	24.0	528.0	532.0
ko:K07112	24	24.0	696.0	717.0
ko:K09761	24	24.0	562.0	522.0
ko:K13924	24	17.366666666666664	662.4	617.7666666666668
ko:K14441	24	24.0	1177.0	1128.0
ko:K16088	24	22.5	410.5	429.5
ko:K16137	24	23.5	283.5	375.0
ko:K21449	24	18.333333333333336	724.3333333333333	822.8333333333334
ko:K00027	23	16.5	774.5	750.0
ko:K00176	23	21.0	241.0	253.0
ko:K00700	23	19.0	684.5	777.0
ko:K00809	23	23.0	608.0	567.0
ko:K00991	23	19.333333333333332	395.49999999999994	419.8333333333333
ko:K01130	23	23.0	627.0	701.0
ko:K01159	23	23.0	387.0	377.0
ko:K01424	23	19.5	378.0	338.0
