OuterTestCohort	Lambda	MeanInnerAUROC	SEInnerAUROC	Selected
IT-A	0.316227766016838	0.5	0	FALSE
IT-A	0.251188643150958	0.5	0	FALSE
IT-A	0.199526231496888	0.712293709243277	0.0274105747142657	FALSE
IT-A	0.158489319246111	0.744896763235559	0.0351589069439223	FALSE
IT-A	0.125892541179417	0.753637750121961	0.0330082090110069	FALSE
IT-A	0.1	0.765066624284268	0.0335453773386381	FALSE
IT-A	0.0794328234724282	0.788572542770296	0.0282841203139189	FALSE
IT-A	0.0630957344480193	0.788338590052406	0.0270094999878895	FALSE
IT-A	0.0501187233627272	0.780514032723089	0.0221526554644654	FALSE
IT-A	0.0398107170553497	0.782920527187664	0.0199625608735424	FALSE
IT-A	0.0316227766016838	0.786599516920706	0.0208296727444036	FALSE
IT-A	0.0251188643150958	0.787961062928098	0.0218911189854331	FALSE
IT-A	0.0199526231496888	0.789950578853644	0.0233872808654671	FALSE
IT-A	0.0158489319246111	0.7934169222538	0.0246694061244484	FALSE
IT-A	0.0125892541179417	0.796835840389394	0.0246047224647312	FALSE
IT-A	0.01	0.797871381280949	0.0242832172538627	FALSE
IT-A	0.00794328234724282	0.794243493628358	0.023279446393712	FALSE
IT-A	0.00630957344480194	0.78975560476228	0.0207343514207234	FALSE
IT-A	0.00501187233627273	0.782962042270299	0.0186977180390771	FALSE
IT-A	0.00398107170553497	0.773847624910606	0.018793062433875	FALSE
IT-A	0.00316227766016838	0.764671289764161	0.0194004152620555	FALSE
IT-A	0.00251188643150958	0.753738150410263	0.0199483743834789	FALSE
IT-A	0.00199526231496888	0.744644277769151	0.0195481825659523	FALSE
IT-A	0.00158489319246111	0.73834454173903	0.019278650963147	FALSE
IT-A	0.00125892541179417	0.730361457651875	0.0198241381416301	FALSE
IT-A	0.001	0.723681164503142	0.0203130608803421	FALSE
IT-A	0.000794328234724282	0.719512829416938	0.0192658119736612	FALSE
IT-A	0.000630957344480194	0.718790585008427	0.018776217553936	FALSE
IT-A	0.000501187233627273	0.714749133742085	0.0190878826997484	FALSE
IT-A	0.000398107170553497	0.711811290556927	0.0191847714679808	FALSE
IT-A	0.000316227766016838	0.710799538977759	0.018764184177861	FALSE
IT-A	0.000251188643150958	0.709517380137644	0.0184724707981291	FALSE
IT-A	0.000199526231496888	0.708761831524991	0.0183353740203466	FALSE
IT-A	0.000158489319246111	0.708055343463886	0.0184319582184667	FALSE
IT-A	0.000125892541179417	0.70669901598404	0.0183042937293056	FALSE
IT-A	0.0001	0.705036240968276	0.0186719502553024	FALSE
IT-B	1	0.5	0	FALSE
IT-B	0.794328234724281	0.5	0	FALSE
IT-B	0.630957344480193	0.5	0	FALSE
IT-B	0.501187233627272	0.5	0	FALSE
IT-B	0.398107170553497	0.5	0	FALSE
IT-B	0.316227766016838	0.5	0	FALSE
IT-B	0.251188643150958	0.5	0	FALSE
IT-B	0.199526231496888	0.540883470613512	0.0209344500162735	FALSE
IT-B	0.158489319246111	0.703374215050541	0.0355289049479785	FALSE
IT-B	0.125892541179417	0.711528805291463	0.0387690113280037	FALSE
IT-B	0.1	0.758376064146773	0.0316653953142589	FALSE
IT-B	0.0794328234724282	0.762820856777722	0.0296711631142054	FALSE
IT-B	0.0630957344480193	0.773489146428441	0.0256176511248672	FALSE
IT-B	0.0501187233627272	0.785194084027578	0.0218648971620648	FALSE
IT-B	0.0398107170553497	0.785610823308056	0.0227609469334289	FALSE
IT-B	0.0316227766016838	0.789614599537827	0.0221089499234409	FALSE
IT-B	0.0251188643150958	0.793133169352399	0.0217376947298844	FALSE
IT-B	0.0199526231496888	0.792895131848609	0.0238438574482718	FALSE
IT-B	0.0158489319246111	0.793982034472488	0.0233225528996018	FALSE
IT-B	0.0125892541179417	0.792159383095959	0.023065249115245	FALSE
IT-B	0.01	0.787112150344124	0.0222779304149188	FALSE
IT-B	0.00794328234724282	0.77869278259403	0.0218518209730801	FALSE
IT-B	0.00630957344480194	0.7724821389974	0.0210907425412875	FALSE
IT-B	0.00501187233627273	0.76384205895424	0.0223738961327823	FALSE
IT-B	0.00398107170553497	0.753401013893133	0.0221923279172388	FALSE
IT-B	0.00316227766016838	0.743938451521122	0.0211488343940511	FALSE
IT-B	0.00251188643150958	0.737047248760145	0.0199820155731435	FALSE
IT-B	0.00199526231496888	0.732945608746533	0.0175419076862024	FALSE
IT-B	0.00158489319246111	0.724976074799862	0.0158135286238543	FALSE
