Cohort	Threshold	FPR	TPR
US	0.415613131644806	0.5	0.769230769230769
US	0.414655807729578	0.519230769230769	0.769230769230769
US	0.414613346779394	0.538461538461538	0.769230769230769
US	0.413846790396154	0.557692307692308	0.769230769230769
US	0.413589073368086	0.557692307692308	0.788461538461538
US	0.411935667973482	0.576923076923077	0.788461538461538
US	0.411508515836224	0.596153846153846	0.788461538461538
US	0.411314900703157	0.596153846153846	0.807692307692308
US	0.411243046967923	0.596153846153846	0.826923076923077
US	0.410143056449083	0.615384615384615	0.826923076923077
US	0.410126921968878	0.615384615384615	0.846153846153846
US	0.408606178911721	0.634615384615385	0.846153846153846
US	0.408367850080701	0.653846153846154	0.846153846153846
US	0.407392497023253	0.673076923076923	0.846153846153846
US	0.407269674499892	0.673076923076923	0.865384615384615
US	0.407257584672471	0.673076923076923	0.884615384615385
US	0.406653208141431	0.673076923076923	0.903846153846154
US	0.40553121055635	0.692307692307692	0.903846153846154
US	0.404262243089843	0.692307692307692	0.923076923076923
US	0.404047370901603	0.711538461538462	0.923076923076923
US	0.403349971942751	0.730769230769231	0.923076923076923
US	0.403276381016108	0.75	0.923076923076923
US	0.403034918519409	0.769230769230769	0.923076923076923
US	0.401554261496526	0.788461538461538	0.923076923076923
US	0.400468465470729	0.807692307692308	0.923076923076923
US	0.399849192162097	0.807692307692308	0.942307692307692
US	0.399138800564522	0.826923076923077	0.942307692307692
US	0.397357926118286	0.826923076923077	0.961538461538462
US	0.395941255205114	0.846153846153846	0.961538461538462
US	0.394355437955057	0.865384615384615	0.961538461538462
US	0.392311045235341	0.884615384615385	0.961538461538462
US	0.390729761054189	0.903846153846154	0.961538461538462
US	0.390134520792848	0.923076923076923	0.961538461538462
US	0.389639797959928	0.942307692307692	0.961538461538462
US	0.38569719667757	0.961538461538462	0.961538461538462
US	0.383743310293301	0.980769230769231	0.961538461538462
US	0.383366914093905	1	0.961538461538462
US	0.3832615605261	1	0.980769230769231
US	0.38230058661347	1	1
US	-Inf	1	1
DE	Inf	0	0
DE	0.98790269720322	0	0.0166666666666667
DE	0.98561539638321	0	0.0333333333333333
DE	0.975812486059153	0	0.05
DE	0.970348475196753	0	0.0666666666666667
DE	0.969342205993426	0	0.0833333333333333
DE	0.966023834149531	0	0.1
DE	0.929829034804645	0	0.116666666666667
DE	0.920311849051662	0	0.133333333333333
DE	0.906949963952112	0	0.15
DE	0.905841851363571	0	0.166666666666667
DE	0.895426299252753	0	0.183333333333333
DE	0.894508020783083	0	0.2
DE	0.882823070073925	0	0.216666666666667
DE	0.8703387742813	0	0.233333333333333
DE	0.836195005770372	0	0.25
DE	0.794898350695563	0	0.266666666666667
DE	0.787517594115723	0	0.283333333333333
DE	0.765243564497404	0	0.3
DE	0.758854133409291	0	0.316666666666667
DE	0.747226718207225	0	0.333333333333333
DE	0.732212631243254	0	0.35
DE	0.713349931858724	0	0.366666666666667
DE	0.71189484844642	0	0.383333333333333
DE	0.693007628803209	0	0.4
DE	0.667649729400208	0	0.416666666666667
DE	0.656266422090533	0	0.433333333333333
DE	0.626998595017156	0	0.45
DE	0.60490363222356	0	0.466666666666667
DE	0.599655994686794	0.0153846153846154	0.466666666666667
DE	0.598791316898772	0.0153846153846154	0.483333333333333
DE	0.579773734950794	0.0307692307692308	0.483333333333333
DE	0.577502377015892	0.0307692307692308	0.5
DE	0.573551274480684	0.0307692307692308	0.516666666666667
DE	0.565318194420808	0.0307692307692308	0.533333333333333
DE	0.563576237420258	0.0307692307692308	0.55
DE	0.545481238598405	0.0307692307692308	0.566666666666667
