sample_id	SubjectID	Compound	CompoundName	reaction	CommunityScaledFlux	AbsoluteFlux	NetDirection
MV_FEM2_t1Q14	MV_FEM2	ncam	ncam	EX_ncam_m	0.0629522956488771	0.0629522956488771	Export
MV_FEM2_t1Q14	MV_FEM2	2obut	2obut	EX_2obut_m	-0.0480891394148639	0.0480891394148639	Import
MV_FEM2_t1Q14	MV_FEM2	hxan	hxan	EX_hxan_m	0.0423380533151393	0.0423380533151393	Export
MV_FEM2_t1Q14	MV_FEM2	gly	gly	EX_gly_m	0.025866647725029	0.025866647725029	Export
MV_FEM2_t1Q14	MV_FEM2	ura	ura	EX_ura_m	-0.0232415624738604	0.0232415624738604	Import
MV_FEM2_t1Q14	MV_FEM2	asn_L	asn L	EX_asn_L_m	-0.0225	0.0225	Import
MV_FEM2_t1Q14	MV_FEM2	asp_L	asp L	EX_asp_L_m	-0.0225	0.0225	Import
MV_FEM2_t1Q14	MV_FEM2	thr_L	thr L	EX_thr_L_m	-0.0225	0.0225	Import
MV_FEM2_t1Q14	MV_FEM2	acnam	acnam	EX_acnam_m	-0.0221620295771781	0.0221620295771781	Import
MV_FEM2_t1Q14	MV_FEM2	ppa	Propionate	EX_ppa_m	0.0214211710102548	0.0214211710102548	Export
MV_FEM2_t1Q14	MV_FEM2	adn	adn	EX_adn_m	-0.0211974617537608	0.0211974617537608	Import
MV_FEM2_t1Q14	MV_FEM2	gln_L	gln L	EX_gln_L_m	-0.018	0.018	Import
MV_FEM2_t1Q14	MV_FEM2	glu_L	glu L	EX_glu_L_m	-0.018	0.018	Import
MV_FEM2_t1Q14	MV_FEM2	pro_L	pro L	EX_pro_L_m	-0.018	0.018	Import
MV_FEM2_t1Q14	MV_FEM2	val_L	val L	EX_val_L_m	-0.018	0.018	Import
MV_FEM2_t1Q14	MV_FEM2	xyl_D	xyl D	EX_xyl_D_m	-0.0178783	0.0178783	Import
MV_FEM2_t1Q14	MV_FEM2	ocdca	ocdca	EX_ocdca_m	-0.0169283	0.0169283	Import
MV_FEM2_t1Q14	MV_FEM2	met_L	met L	EX_met_L_m	-0.016594403776856	0.016594403776856	Import
MV_FEM2_t1Q14	MV_FEM2	arg_L	arg L	EX_arg_L_m	-0.015	0.015	Import
MV_FEM2_t1Q14	MV_FEM2	ile_L	ile L	EX_ile_L_m	-0.015	0.015	Import
MV_FEM2_t1Q14	MV_FEM2	leu_L	leu L	EX_leu_L_m	-0.015	0.015	Import
MV_FEM2_t1Q14	MV_FEM2	lys_L	lys L	EX_lys_L_m	-0.015	0.015	Import
MV_FEM2_t1Q14	MV_FEM2	fru	D-fructose	EX_fru_m	-0.0148985999999999	0.0148985999999999	Import
MV_FEM2_t1Q14	MV_FEM2	phe_L	phe L	EX_phe_L_m	-0.0145228881460335	0.0145228881460335	Import
MV_FEM2_t1Q14	MV_FEM2	his_L	his L	EX_his_L_m	-0.0128013450555942	0.0128013450555942	Import
MV_FEM2_t1Q14	MV_FEM2	3mop	3mop	EX_3mop_m	-0.0127268159895836	0.0127268159895836	Import
MV_FEM2_t1Q14	MV_FEM2	gua	gua	EX_gua_m	-0.0111909050020821	0.0111909050020821	Import
MV_FEM2_t1Q14	MV_FEM2	tyr_L	tyr L	EX_tyr_L_m	-0.0103349245033942	0.0103349245033942	Import
MV_FEM2_t1Q14	MV_FEM2	chor	chor	EX_chor_m	-0.0095085704384542	0.0095085704384542	Import
MV_FEM2_t1Q14	MV_FEM2	trp_L	trp L	EX_trp_L_m	-0.008182	0.008182	Import
MV_FEM2_t1Q14	MV_FEM2	lcts	lcts	EX_lcts_m	-0.0074492999999999	0.0074492999999999	Import
MV_FEM2_t1Q14	MV_FEM2	malt	malt	EX_malt_m	-0.0074492999999999	0.0074492999999999	Import
MV_FEM2_t1Q14	MV_FEM2	melib	melib	EX_melib_m	-0.0074492999999999	0.0074492999999999	Import
MV_FEM2_t1Q14	MV_FEM2	sucr	sucr	EX_sucr_m	-0.0074492999999999	0.0074492999999999	Import
MV_FEM2_t1Q14	MV_FEM2	ttdca	ttdca	EX_ttdca_m	-0.0068676	0.0068676	Import
MV_FEM2_t1Q14	MV_FEM2	isocapr	isocapr	EX_isocapr_m	0.005999994157138	0.005999994157138	Export
MV_FEM2_t1Q14	MV_FEM2	indole	indole	EX_indole_m	-0.0047137657848972	0.0047137657848972	Import
MV_FEM2_t1Q14	MV_FEM2	raffin	raffin	EX_raffin_m	-0.004701945	0.004701945	Import
MV_FEM2_t1Q14	MV_FEM2	isoval	isoval	EX_isoval_m	0.002999997078569	0.002999997078569	Export
MV_FEM2_t1Q14	MV_FEM2	kestopt	kestopt	EX_kestopt_m	-0.002821167	0.002821167	Import
MV_FEM2_t1Q14	MV_FEM2	fol	fol	EX_fol_m	-0.0023853472532367	0.0023853472532367	Import
MV_FEM2_t1Q14	MV_FEM2	rib_D	rib D	EX_rib_D_m	0.0023247508867393	0.0023247508867393	Export
MV_FEM2_t1Q14	MV_FEM2	cit	cit	EX_cit_m	-0.0019394210479525	0.0019394210479525	Import
MV_FEM2_t1Q14	MV_FEM2	glyc	glyc	EX_glyc_m	0.0018512007940915	0.0018512007940915	Export
MV_FEM2_t1Q14	MV_FEM2	fe2	fe2	EX_fe2_m	-0.0015722917371367	0.0015722917371367	Import
MV_FEM2_t1Q14	MV_FEM2	na1	na1	EX_na1_m	-0.00152405951529	0.00152405951529	Import
MV_FEM2_t1Q14	MV_FEM2	gal	D-galactose	EX_gal_m	0.0013324022081866	0.0013324022081866	Export
MV_FEM2_t1Q14	MV_FEM2	pnto_R	pnto R	EX_pnto_R_m	-0.0013252551829078	0.0013252551829078	Import
MV_FEM2_t1Q14	MV_FEM2	fe3	fe3	EX_fe3_m	-0.0011264297422405	0.0011264297422405	Import
MV_FEM2_t1Q14	MV_FEM2	so4	so4	EX_so4_m	-0.0011217502012327	0.0011217502012327	Import
MV_FEM2_t1Q14	MV_FEM2	ca2	ca2	EX_ca2_m	-0.0011191628932348	0.0011191628932348	Import
MV_FEM2_t1Q14	MV_FEM2	cl	cl	EX_cl_m	-0.0011191628932348	0.0011191628932348	Import
MV_FEM2_t1Q14	MV_FEM2	cobalt2	cobalt2	EX_cobalt2_m	-0.0011191628932348	0.0011191628932348	Import
MV_FEM2_t1Q14	MV_FEM2	cu2	cu2	EX_cu2_m	-0.0011191628932348	0.0011191628932348	Import
MV_FEM2_t1Q14	MV_FEM2	k	k	EX_k_m	-0.0011191628932348	0.0011191628932348	Import
MV_FEM2_t1Q14	MV_FEM2	mg2	mg2	EX_mg2_m	-0.0011191628932348	0.0011191628932348	Import
